値段,株数,金額,時刻
2922,14552400,42522112800,15:30:00
2913.5,300,874050,15:24:59
2911.5,200,582300,15:24:59
2913,2300,6699900,15:24:59
2911.5,200,582300,15:24:59
2911.5,200,582300,15:24:59
2912.5,1400,4077500,15:24:59
2912.5,600,1747500,15:24:59
2912.5,200,582500,15:24:59
2912,5400,15724800,15:24:59
2911.5,600,1746900,15:24:58
2910,300,873000,15:24:58
2911,100,291100,15:24:58
2909.5,100,290950,15:24:58
2911,500,1455500,15:24:58
2910,200,582000,15:24:58
2910,100,291000,15:24:58
2910,8100,23571000,15:24:58
2910,3200,9312000,15:24:58
2909.5,800,2327600,15:24:58
2909.5,200,581900,15:24:58
2909,100,290900,15:24:58
2909,100,290900,15:24:58
2908.5,2000,5817000,15:24:58
2908,8200,23845600,15:24:57
2907,200,581400,15:24:57
2907,100,290700,15:24:57
2908,100,290800,15:24:55
2908,600,1744800,15:24:55
2908,200,581600,15:24:55
2908,200,581600,15:24:55
2907.5,1200,3489000,15:24:55
2907.5,100,290750,15:24:55
2906.5,100,290650,15:24:55
2907,1300,3779100,15:24:54
2906.5,200,581300,15:24:54
2906.5,100,290650,15:24:54
2905,800,2324000,15:24:54
2905,400,1162000,15:24:54
2905.5,400,1162200,15:24:54
2906.5,100,290650,15:24:54
2906.5,100,290650,15:24:54
2905.5,100,290550,15:24:54
2906,200,581200,15:24:54
2906,100,290600,15:24:54
2906,500,1453000,15:24:54
2905.5,500,1452750,15:24:53
2906,100,290600,15:24:53
2907,100,290700,15:24:53
2908,600,1744800,15:24:53
2907.5,1500,4361250,15:24:53
2906.5,100,290650,15:24:53
2907.5,200,581500,15:24:53
2906.5,100,290650,15:24:53
2907,200,581400,15:24:53
2907,100,290700,15:24:53
2907,5200,15116400,15:24:52
2906.5,100,290650,15:24:51
2907,100,290700,15:24:51
2906.5,100,290650,15:24:50
2906.5,800,2325200,15:24:49
2906.5,100,290650,15:24:49
2906,900,2615400,15:24:49
2907,100,290700,15:24:47
2906.5,1700,4941050,15:24:46
2906,2100,6102600,15:24:45
2906,100,290600,15:24:45
2905.5,1500,4358250,15:24:45
2905.5,100,290550,15:24:42
2905,1500,4357500,15:24:41
2905,100,290500,15:24:41
2904.5,300,871350,15:24:40
2904.5,400,1161800,15:24:40
2905,100,290500,15:24:34
2904.5,100,290450,15:24:34
2904.5,200,580900,15:24:34
2904.5,300,871350,15:24:34
2904.5,700,2033150,15:24:34
2905,100,290500,15:24:33
2904,1600,4646400,15:24:33
2904.5,1200,3485400,15:24:33
2904.5,100,290450,15:24:32
2904.5,700,2033150,15:24:31
2905,100,290500,15:24:31
2905.5,100,290550,15:24:31
2905,300,871500,15:24:30
2905.5,200,581100,15:24:30
2905,200,581000,15:24:30
2905.5,1500,4358250,15:24:30
2905.5,300,871650,15:24:30
2905,200,581000,15:24:29
2905,200,581000,15:24:29
2904.5,200,580900,15:24:29
2905.5,100,290550,15:24:29
2905,6600,19173000,15:24:29
2905,2000,5810000,15:24:29
2906,200,581200,15:24:29
2906,100,290600,15:24:28
2905.5,100,290550,15:24:28
2905,100,290500,15:24:28
2905.5,200,581100,15:24:28
2905.5,1900,5520450,15:24:28
2906,300,871800,15:24:28
2906,100,290600,15:24:26
2906,100,290600,15:24:26
2905.5,700,2033850,15:24:23
2905.5,100,290550,15:24:22
2905,400,1162000,15:24:22
2905.5,100,290550,15:24:21
2905,100,290500,15:24:20
2905.5,900,2614950,15:24:20
2905.5,300,871650,15:24:20
2905.5,2100,6101550,15:24:20
2906,100,290600,15:24:19
2905.5,200,581100,15:24:16
2906,200,581200,15:24:16
2906,300,871800,15:24:16
2906,200,581200,15:24:16
2905.5,100,290550,15:24:15
2905.5,100,290550,15:24:15
2905.5,1800,5229900,15:24:15
2905,4700,13653500,15:24:15
2904.5,100,290450,15:24:15
2904,300,871200,15:24:14
2904.5,800,2323600,15:24:14
2904,1000,2904000,15:24:13
2903.5,500,1451750,15:24:11
2903.5,300,871050,15:24:10
2903.5,300,871050,15:24:06
2903.5,100,290350,15:24:06
2903,200,580600,15:24:05
2903,100,290300,15:24:05
2903.5,100,290350,15:24:04
2903.5,100,290350,15:24:04
2903,200,580600,15:24:04
2903,300,870900,15:24:02
2903,900,2612700,15:24:02
2903.5,500,1451750,15:24:02
2904,100,290400,15:24:02
2904,200,580800,15:24:02
2904,200,580800,15:24:01
2904,500,1452000,15:24:01
2904,100,290400,15:24:00
2903.5,600,1742100,15:24:00
2904.5,2000,5809000,15:24:00
2904,1200,3484800,15:24:00
2904,100,290400,15:24:00
2904,1500,4356000,15:24:00
2903.5,100,290350,15:24:00
2904,900,2613600,15:24:00
2903.5,100,290350,15:24:00
2904,1000,2904000,15:24:00
2903.5,1700,4935950,15:24:00
2903.5,300,871050,15:24:00
2903.5,300,871050,15:24:00
2903.5,300,871050,15:23:59
