値段,株数,金額,時刻
3810,1012100,3856101000,15:30:00
3810,100,381000,15:24:59
3810,100,381000,15:24:58
3808,100,380800,15:24:58
3809,900,3428100,15:24:58
3811,100,381100,15:24:56
3811,200,762200,15:24:56
3809,200,761800,15:24:55
3809,100,380900,15:24:54
3809,100,380900,15:24:54
3810,100,381000,15:24:54
3809,700,2666300,15:24:52
3808,2300,8758400,15:24:52
3809,1800,6856200,15:24:52
3810,6900,26289000,15:24:52
3811,1300,4954300,15:24:52
3812,100,381200,15:24:52
3813,100,381300,15:24:50
3812,100,381200,15:24:50
3812,100,381200,15:24:50
3813,300,1143900,15:24:49
3813,100,381300,15:24:49
3812,300,1143600,15:24:48
3812,100,381200,15:24:48
3812,100,381200,15:24:48
3812,100,381200,15:24:48
3812,100,381200,15:24:48
3812,100,381200,15:24:48
3812,500,1906000,15:24:48
3812,300,1143600,15:24:48
3812,300,1143600,15:24:48
3812,2900,11054800,15:24:48
3812,100,381200,15:24:47
3811,200,762200,15:24:47
3811,600,2286600,15:24:45
3810,700,2667000,15:24:44
3811,100,381100,15:24:44
3811,100,381100,15:24:42
3812,200,762400,15:24:42
3812,100,381200,15:24:41
3810,100,381000,15:24:40
3811,100,381100,15:24:40
3811,100,381100,15:24:40
3812,100,381200,15:24:39
3812,100,381200,15:24:38
3812,100,381200,15:24:38
3811,30400,115854400,15:24:38
3811,2100,8003100,15:24:38
3812,500,1906000,15:24:36
3812,200,762400,15:24:36
3812,100,381200,15:24:35
3811,100,381100,15:24:34
3812,100,381200,15:24:34
3812,100,381200,15:24:34
3812,300,1143600,15:24:33
3812,900,3430800,15:24:33
3813,200,762600,15:24:33
3812,100,381200,15:24:32
3812,400,1524800,15:24:32
3813,1900,7244700,15:24:32
3813,200,762600,15:24:32
3813,200,762600,15:24:31
3813,200,762600,15:24:31
3813,300,1143900,15:24:30
3815,100,381500,15:24:30
3814,2400,9153600,15:24:30
3815,100,381500,15:24:30
3815,300,1144500,15:24:30
3815,100,381500,15:24:30
3815,100,381500,15:24:30
3814,18100,69033400,15:24:30
3814,2200,8390800,15:24:30
3814,3700,14111800,15:24:30
3814,3100,11823400,15:24:30
3814,800,3051200,15:24:30
3814,2200,8390800,15:24:30
3815,2500,9537500,15:24:30
3815,1100,4196500,15:24:30
3815,100,381500,15:24:29
3815,100,381500,15:24:29
3816,100,381600,15:24:29
3815,200,763000,15:24:29
3816,100,381600,15:24:28
3815,1000,3815000,15:24:28
3816,100,381600,15:24:28
3815,100,381500,15:24:28
3816,100,381600,15:24:27
3816,1000,3816000,15:24:26
3817,100,381700,15:24:26
3816,100,381600,15:24:25
3816,100,381600,15:24:25
3816,100,381600,15:24:25
3817,200,763400,15:24:21
3816,100,381600,15:24:20
3817,100,381700,15:24:19
3816,300,1144800,15:24:19
3817,100,381700,15:24:19
3816,100,381600,15:24:19
3816,2000,7632000,15:24:19
3816,100,381600,15:24:18
3817,100,381700,15:24:17
3817,300,1145100,15:24:15
3817,100,381700,15:24:15
3816,200,763200,15:24:15
3817,100,381700,15:24:14
3816,100,381600,15:24:11
3817,100,381700,15:24:08
3816,100,381600,15:24:08
3816,200,763200,15:24:08
3817,100,381700,15:24:06
3818,100,381800,15:24:05
3817,200,763400,15:24:05
3817,1200,4580400,15:24:05
3817,500,1908500,15:24:05
3817,100,381700,15:24:03
3818,100,381800,15:24:02
3818,100,381800,15:24:02
3817,100,381700,15:24:01
3818,100,381800,15:24:01
3818,100,381800,15:24:01
3819,100,381900,15:24:00
3818,800,3054400,15:24:00
3818,500,1909000,15:24:00
3818,500,1909000,15:23:59
3819,100,381900,15:23:58
3817,100,381700,15:23:57
3818,100,381800,15:23:56
3818,200,763600,15:23:56
3819,200,763800,15:23:56
3818,100,381800,15:23:56
3818,200,763600,15:23:55
3818,100,381800,15:23:55
3818,200,763600,15:23:55
3818,100,381800,15:23:55
3818,100,381800,15:23:55
3818,100,381800,15:23:55
3818,200,763600,15:23:55
3818,1400,5345200,15:23:55
3818,1900,7254200,15:23:55
3817,500,1908500,15:23:50
3817,400,1526800,15:23:50
3817,300,1145100,15:23:47
3817,100,381700,15:23:44
3817,400,1526800,15:23:44
3817,100,381700,15:23:44
3817,100,381700,15:23:43
3817,200,763400,15:23:43
3816,100,381600,15:23:42
3817,800,3053600,15:23:42
3817,3100,11832700,15:23:42
3816,200,763200,15:23:42
3816,100,381600,15:23:41
3817,1300,4962100,15:23:41
3817,100,381700,15:23:40
3817,100,381700,15:23:40
3817,100,381700,15:23:40
3817,800,3053600,15:23:40
3818,100,381800,15:23:39
3818,100,381800,15:23:39
3817,100,381700,15:23:37
3817,700,2671900,15:23:37
3817,100,381700,15:23:36
3818,100,381800,15:23:36
3817,300,1145100,15:23:35
3818,100,381800,15:23:34
3818,300,1145400,15:23:33
3818,500,1909000,15:23:33
3818,200,763600,15:23:31
3819,200,763800,15:23:31
3819,100,381900,15:23:27
3819,200,763800,15:23:27
3818,3300,12599400,15:23:22
3818,100,381800,15:23:11
3818,1000,3818000,15:23:11
3818,300,1145400,15:23:10
3818,200,763600,15:23:08
3818,100,381800,15:23:08
3818,100,381800,15:23:08
3819,500,1909500,15:23:08
3818,100,381800,15:23:08
3818,100,381800,15:23:07
3818,1400,5345200,15:23:07
3817,100,381700,15:23:04
3817,1000,3817000,15:23:00
3818,100,381800,15:23:00
3818,200,763600,15:23:00
3817,1100,4198700,15:22:59
3817,1000,3817000,15:22:59
3817,100,381700,15:22:58
3818,100,381800,15:22:56
3817,200,763400,15:22:56
3818,100,381800,15:22:56
3817,200,763400,15:22:56
3817,1400,5343800,15:22:56
3818,800,3054400,15:22:56
3818,100,381800,15:22:55
3818,800,3054400,15:22:55
3818,100,381800,15:22:55
3818,100,381800,15:22:55
3817,100,381700,15:22:55
3817,200,763400,15:22:55
3818,800,3054400,15:22:55
3818,1200,4581600,15:22:55
3818,100,381800,15:22:54
3818,300,1145400,15:22:54
3819,2100,8019900,15:22:54
3819,100,381900,15:22:54
3819,400,1527600,15:22:54
3820,300,1146000,15:22:54
3819,100,381900,15:22:53
3820,100,382000,15:22:53
3819,100,381900,15:22:52
3819,1000,3819000,15:22:52
3819,300,1145700,15:22:52
3819,100,381900,15:22:52
3819,200,763800,15:22:52
3819,600,2291400,15:22:52
3820,4300,16426000,15:22:52
3820,500,1910000,15:22:52
3820,100,382000,15:22:48
3820,100,382000,15:22:48
3820,300,1146000,15:22:43
3820,200,764000,15:22:43
3820,300,1146000,15:22:43
3821,1700,6495700,15:22:43
3822,1800,6879600,15:22:40
3822,200,764400,15:22:36
3822,1400,5350800,15:22:36
3822,100,382200,15:22:33
3822,2800,10701600,15:22:31
3822,100,382200,15:22:26
3822,100,382200,15:22:26
3823,100,382300,15:22:26
3823,500,1911500,15:22:26
3823,100,382300,15:22:25
3823,100,382300,15:22:25
3823,300,1146900,15:22:24
3823,100,382300,15:22:24
3823,100,382300,15:22:24
3823,100,382300,15:22:22
3823,200,764600,15:22:21
3823,1300,4969900,15:22:21
3823,100,382300,15:22:17
3823,1400,5352200,15:22:11
3823,100,382300,15:22:08
3825,100,382500,15:22:06
3824,200,764800,15:22:06
3824,1200,4588800,15:22:06
3824,200,764800,15:22:03
3824,200,764800,15:22:02
3825,100,382500,15:22:01
3824,100,382400,15:22:01
3824,100,382400,15:22:01
3824,100,382400,15:22:01
3824,300,1147200,15:22:01
3824,800,3059200,15:21:59
3824,2000,7648000,15:21:59
3824,500,1912000,15:21:59
3823,100,382300,15:21:56
3823,200,764600,15:21:56
3823,700,2676100,15:21:56
3823,100,382300,15:21:53
3824,400,1529600,15:21:51
3823,900,3440700,15:21:51
3822,100,382200,15:21:48
3823,100,382300,15:21:44
3822,100,382200,15:21:43
3822,100,382200,15:21:39
3823,300,1146900,15:21:37
3823,200,764600,15:21:37
3823,1700,6499100,15:21:36
3823,100,382300,15:21:34
3823,1000,3823000,15:21:28
3823,100,382300,15:21:28
3823,100,382300,15:21:28
3823,400,1529200,15:21:28
3822,800,3057600,15:21:26
3822,1700,6497400,15:21:26
3822,1600,6115200,15:21:26
3822,100,382200,15:21:24
3822,100,382200,15:21:19
3823,100,382300,15:21:17
3822,100,382200,15:21:16
3823,200,764600,15:21:14
3823,1800,6881400,15:21:14
3823,400,1529200,15:21:14
3824,100,382400,15:21:10
3824,200,764800,15:21:10
3824,1600,6118400,15:21:10
3824,100,382400,15:21:10
3824,1800,6883200,15:21:10
3825,100,382500,15:21:05
3824,1000,3824000,15:21:01
3825,100,382500,15:21:00
3825,100,382500,15:20:59
3825,100,382500,15:20:58
3824,100,382400,15:20:57
3824,100,382400,15:20:57
3824,900,3441600,15:20:57
3824,1500,5736000,15:20:57
3824,200,764800,15:20:50
3823,200,764600,15:20:50
3823,100,382300,15:20:50
3823,100,382300,15:20:50
3823,400,1529200,15:20:50
3823,100,382300,15:20:50
3823,300,1146900,15:20:50
3823,300,1146900,15:20:49
3822,100,382200,15:20:47
3823,700,2676100,15:20:46
3823,400,1529200,15:20:46
3823,100,382300,15:20:46
3823,100,382300,15:20:41
3823,100,382300,15:20:40
3822,100,382200,15:20:39
3822,200,764400,15:20:37
3822,400,1528800,15:20:37
3822,1900,7261800,15:20:37
3822,100,382200,15:20:34
3821,100,382100,15:20:28
3821,100,382100,15:20:25
3821,200,764200,15:20:25
3821,200,764200,15:20:25
3821,100,382100,15:20:25
3821,200,764200,15:20:25
3821,500,1910500,15:20:25
3821,1400,5349400,15:20:25
3821,1900,7259900,15:20:25
3820,100,382000,15:20:23
3820,100,382000,15:20:22
3820,100,382000,15:20:16
3821,100,382100,15:20:15
3820,100,382000,15:20:14
3821,800,3056800,15:20:10
3820,800,3056000,15:20:07
3820,2900,11078000,15:20:07
3820,300,1146000,15:20:07
3820,100,382000,15:20:07
3820,100,382000,15:20:04
3819,200,763800,15:20:01
3819,100,381900,15:20:01
3819,200,763800,15:20:01
3819,200,763800,15:20:01
3820,100,382000,15:20:00
3819,300,1145700,15:20:00
3819,200,763800,15:20:00
3819,200,763800,15:20:00
3819,100,381900,15:19:59
3820,200,764000,15:19:59
3819,100,381900,15:19:58
3820,100,382000,15:19:58
3820,200,764000,15:19:56
3820,300,1146000,15:19:52
3820,500,1910000,15:19:52
3820,2000,7640000,15:19:52
3821,100,382100,15:19:51
3821,200,764200,15:19:51
3821,900,3438900,15:19:51
3821,400,1528400,15:19:49
3820,200,764000,15:19:46
3820,100,382000,15:19:46
3820,100,382000,15:19:42
3820,100,382000,15:19:42
3820,100,382000,15:19:41
3820,300,1146000,15:19:40
3820,200,764000,15:19:34
3820,100,382000,15:19:34
3820,300,1146000,15:19:34
3820,200,764000,15:19:33
3820,100,382000,15:19:33
3821,100,382100,15:19:32
3820,100,382000,15:19:32
3820,300,1146000,15:19:30
3820,100,382000,15:19:30
3820,200,764000,15:19:30
3820,500,1910000,15:19:29
3820,100,382000,15:19:29
3820,100,382000,15:19:29
3820,500,1910000,15:19:29
3820,1500,5730000,15:19:28
3820,200,764000,15:19:28
3820,100,382000,15:19:28
3820,1000,3820000,15:19:28
3820,100,382000,15:19:28
3820,300,1146000,15:19:28
3821,2200,8406200,15:19:28
3822,3300,12612600,15:19:28
3822,100,382200,15:19:28
3822,100,382200,15:19:21
3823,100,382300,15:19:21
3823,600,2293800,15:19:21
3823,800,3058400,15:19:21
3823,6800,25996400,15:19:20
3823,100,382300,15:19:20
3823,100,382300,15:19:11
3822,100,382200,15:19:09
3822,500,1911000,15:19:07
3822,500,1911000,15:19:07
3822,1100,4204200,15:19:04
3823,100,382300,15:19:00
3823,100,382300,15:18:55
3823,2600,9939800,15:18:53
3823,100,382300,15:18:52
3823,200,764600,15:18:48
3823,100,382300,15:18:47
3824,100,382400,15:18:42
3823,500,1911500,15:18:41
3824,300,1147200,15:18:41
3824,100,382400,15:18:40
3824,100,382400,15:18:40
3824,100,382400,15:18:40
3824,200,764800,15:18:40
3824,100,382400,15:18:39
3824,200,764800,15:18:36
3825,100,382500,15:18:36
3824,100,382400,15:18:35
3824,200,764800,15:18:34
3824,100,382400,15:18:33
3824,600,2294400,15:18:29
3824,100,382400,15:18:29
3824,400,1529600,15:18:29
3824,500,1912000,15:18:29
3824,200,764800,15:18:29
3824,2700,10324800,15:18:29
3825,100,382500,15:18:24
3825,100,382500,15:18:19
3824,200,764800,15:18:18
3824,100,382400,15:18:15
3824,100,382400,15:18:10
3825,100,382500,15:18:04
3825,100,382500,15:18:01
3824,100,382400,15:17:55
3824,100,382400,15:17:51
3824,100,382400,15:17:51
3824,100,382400,15:17:51
3824,100,382400,15:17:51
3824,100,382400,15:17:51
3825,500,1912500,15:17:51
3825,1300,4972500,15:17:51
3825,100,382500,15:17:51
3825,100,382500,15:17:46
3825,100,382500,15:17:46
3826,2000,7652000,15:17:41
3826,100,382600,15:17:41
3825,400,1530000,15:17:39
3825,700,2677500,15:17:39
3824,100,382400,15:17:33
3824,1900,7265600,15:17:33
3823,400,1529200,15:17:32
3823,2600,9939800,15:17:32
3822,100,382200,15:17:30
3822,700,2675400,15:17:30
3822,100,382200,15:17:24
3822,300,1146600,15:17:24
3822,1500,5733000,15:17:22
3823,1400,5352200,15:17:22
3823,200,764600,15:17:22
3823,100,382300,15:17:22
3823,100,382300,15:17:21
3824,400,1529600,15:17:18
3824,100,382400,15:17:17
3824,100,382400,15:17:17
3824,300,1147200,15:17:17
3824,300,1147200,15:17:17
3823,500,1911500,15:17:17
3824,2300,8795200,15:17:17
3825,100,382500,15:17:08
3825,2100,8032500,15:17:08
3825,600,2295000,15:17:07
3825,300,1147500,15:17:07
3826,1600,6121600,15:17:03
3826,100,382600,15:17:01
3826,100,382600,15:16:59
3826,100,382600,15:16:55
3826,100,382600,15:16:55
3826,100,382600,15:16:53
3827,800,3061600,15:16:51
3827,100,382700,15:16:50
3826,600,2295600,15:16:50
3826,100,382600,15:16:49
3826,100,382600,15:16:46
3826,100,382600,15:16:44
3826,300,1147800,15:16:43
3826,300,1147800,15:16:38
3826,100,382600,15:16:35
3826,100,382600,15:16:27
