値段,株数,金額,時刻
47900,790200,37850580000,15:30:00
47810,100,4781000,15:24:59
47820,500,23910000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47830,100,4783000,15:24:59
47810,100,4781000,15:24:59
47820,400,19128000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47820,200,9564000,15:24:59
47840,100,4784000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47840,200,9568000,15:24:59
47820,100,4782000,15:24:59
47830,300,14349000,15:24:59
47830,8300,396989000,15:24:59
47830,100,4783000,15:24:59
47820,100,4782000,15:24:59
47830,100,4783000,15:24:59
47820,100,4782000,15:24:59
47830,100,4783000,15:24:59
47830,500,23915000,15:24:59
47820,100,4782000,15:24:59
47830,600,28698000,15:24:59
47820,1500,71730000,15:24:59
47800,100,4780000,15:24:59
47810,100,4781000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47820,100,4782000,15:24:59
47820,200,9564000,15:24:59
47810,100,4781000,15:24:59
47810,100,4781000,15:24:58
47820,100,4782000,15:24:58
47800,100,4780000,15:24:58
47820,100,4782000,15:24:58
47810,100,4781000,15:24:58
47820,100,4782000,15:24:58
47800,100,4780000,15:24:58
47810,100,4781000,15:24:58
47820,100,4782000,15:24:58
47820,100,4782000,15:24:58
47810,100,4781000,15:24:58
47820,100,4782000,15:24:58
47810,100,4781000,15:24:58
47800,200,9560000,15:24:57
47800,200,9560000,15:24:57
47810,100,4781000,15:24:57
47830,300,14349000,15:24:57
47800,100,4780000,15:24:57
47820,200,9564000,15:24:57
47820,100,4782000,15:24:57
47800,300,14340000,15:24:57
47810,100,4781000,15:24:57
47820,200,9564000,15:24:57
47810,200,9562000,15:24:57
47800,100,4780000,15:24:56
47800,400,19120000,15:24:56
47810,300,14343000,15:24:56
47810,100,4781000,15:24:56
47800,200,9560000,15:24:56
47800,600,28680000,15:24:56
47810,100,4781000,15:24:56
47810,100,4781000,15:24:56
47800,300,14340000,15:24:56
47810,100,4781000,15:24:56
47830,300,14349000,15:24:55
47820,1700,81294000,15:24:55
47820,100,4782000,15:24:55
47810,100,4781000,15:24:55
47810,100,4781000,15:24:55
47800,900,43020000,15:24:55
47810,800,38248000,15:24:55
47810,200,9562000,15:24:55
47800,100,4780000,15:24:55
47800,100,4780000,15:24:55
47800,800,38240000,15:24:55
47800,200,9560000,15:24:55
47810,100,4781000,15:24:54
47820,100,4782000,15:24:54
47810,100,4781000,15:24:54
47810,200,9562000,15:24:54
47820,100,4782000,15:24:54
47800,200,9560000,15:24:54
47810,100,4781000,15:24:54
47800,100,4780000,15:24:54
47820,100,4782000,15:24:53
47800,1000,47800000,15:24:53
47810,100,4781000,15:24:53
47820,100,4782000,15:24:53
47810,100,4781000,15:24:53
47810,100,4781000,15:24:53
47810,100,4781000,15:24:53
47810,100,4781000,15:24:53
47810,200,9562000,15:24:53
47810,100,4781000,15:24:53
47810,100,4781000,15:24:52
47810,200,9562000,15:24:52
47810,100,4781000,15:24:52
47800,200,9560000,15:24:52
47810,100,4781000,15:24:52
47810,200,9562000,15:24:52
47800,1300,62140000,15:24:52
47810,100,4781000,15:24:52
47800,200,9560000,15:24:52
47810,100,4781000,15:24:52
47810,100,4781000,15:24:52
47800,100,4780000,15:24:51
47810,100,4781000,15:24:51
47800,300,14340000,15:24:51
47810,100,4781000,15:24:51
47810,100,4781000,15:24:51
47820,100,4782000,15:24:51
47820,100,4782000,15:24:51
47810,100,4781000,15:24:51
47810,100,4781000,15:24:51
47810,100,4781000,15:24:51
47810,1200,57372000,15:24:51
47820,100,4782000,15:24:50
47820,100,4782000,15:24:50
47830,100,4783000,15:24:50
47810,900,43029000,15:24:50
47820,100,4782000,15:24:50
47820,100,4782000,15:24:50
47830,100,4783000,15:24:50
47820,100,4782000,15:24:50
47810,300,14343000,15:24:50
47820,300,14346000,15:24:50
47830,300,14349000,15:24:50
47820,100,4782000,15:24:49
47820,600,28692000,15:24:49
47820,100,4782000,15:24:49
47830,100,4783000,15:24:49
47830,100,4783000,15:24:49
47820,100,4782000,15:24:49
47820,200,9564000,15:24:49
47820,100,4782000,15:24:49
47820,100,4782000,15:24:49
47820,800,38256000,15:24:49
47820,1100,52602000,15:24:48
47820,700,33474000,15:24:48
47820,2000,95640000,15:24:48
47810,100,4781000,15:24:48
47820,200,9564000,15:24:48
47810,100,4781000,15:24:48
47810,100,4781000,15:24:48
47820,100,4782000,15:24:48
47810,100,4781000,15:24:48
47810,100,4781000,15:24:47
47800,500,23900000,15:24:47
47800,100,4780000,15:24:47
47810,500,23905000,15:24:47
47810,100,4781000,15:24:47
47810,300,14343000,15:24:47
47810,200,9562000,15:24:47
47800,100,4780000,15:24:46
47810,100,4781000,15:24:46
47810,100,4781000,15:24:46
47800,700,33460000,15:24:46
47810,100,4781000,15:24:46
47810,100,4781000,15:24:46
47810,100,4781000,15:24:45
47800,200,9560000,15:24:45
47810,400,19124000,15:24:45
47810,100,4781000,15:24:45
47810,100,4781000,15:24:45
47800,100,4780000,15:24:45
47800,1300,62140000,15:24:45
47810,100,4781000,15:24:45
47800,100,4780000,15:24:45
47800,100,4780000,15:24:44
47800,400,19120000,15:24:44
47810,100,4781000,15:24:44
47810,100,4781000,15:24:44
47820,100,4782000,15:24:44
47800,100,4780000,15:24:44
47810,100,4781000,15:24:44
47800,100,4780000,15:24:44
47810,100,4781000,15:24:44
