値段,株数,金額,時刻
3546,200,709200,09:59:36
3546,100,354600,09:59:36
3545,600,2127000,09:59:35
3545,100,354500,09:59:34
3545,200,709000,09:59:31
3545,500,1772500,09:59:31
3545,100,354500,09:59:30
3545,400,1418000,09:59:30
3544,300,1063200,09:59:30
3545,300,1063500,09:59:26
3545,500,1772500,09:59:26
3545,400,1418000,09:59:26
3545,100,354500,09:59:26
3545,100,354500,09:59:26
3546,300,1063800,09:59:23
3545,100,354500,09:59:22
3545,100,354500,09:59:22
3546,200,709200,09:59:22
3545,100,354500,09:59:21
3545,100,354500,09:59:21
3546,300,1063800,09:59:21
3546,400,1418400,09:59:21
3546,100,354600,09:59:21
3546,400,1418400,09:59:21
3546,200,709200,09:59:20
3546,100,354600,09:59:20
3547,1500,5320500,09:59:19
3547,200,709400,09:59:18
3547,300,1064100,09:59:18
3547,200,709400,09:59:18
3547,200,709400,09:59:18
3548,300,1064400,09:59:17
3548,400,1419200,09:59:17
3549,100,354900,09:59:17
3548,200,709600,09:59:15
3548,900,3193200,09:59:14
3548,100,354800,09:59:14
3548,100,354800,09:59:13
3548,200,709600,09:59:12
3548,100,354800,09:59:12
3548,200,709600,09:59:12
3548,700,2483600,09:59:12
3548,300,1064400,09:59:12
3548,600,2128800,09:59:12
3548,400,1419200,09:59:12
3548,200,709600,09:59:12
3548,100,354800,09:59:12
3548,100,354800,09:59:12
3548,100,354800,09:59:12
3549,100,354900,09:59:09
3549,100,354900,09:59:09
3549,100,354900,09:59:09
3549,100,354900,09:59:08
3549,1100,3903900,09:59:08
3549,200,709800,09:59:08
3550,100,355000,09:59:08
3550,500,1775000,09:59:06
3549,100,354900,09:59:05
3550,100,355000,09:59:05
3550,300,1065000,09:59:05
3549,100,354900,09:59:02
3549,100,354900,09:59:02
3549,100,354900,09:59:01
3549,200,709800,09:59:00
3549,100,354900,09:59:00
3549,100,354900,09:59:00
3549,200,709800,09:58:56
3550,200,710000,09:58:55
3550,100,355000,09:58:53
3549,100,354900,09:58:53
3549,200,709800,09:58:52
3549,100,354900,09:58:52
3548,300,1064400,09:58:51
3549,100,354900,09:58:51
3548,200,709600,09:58:50
3549,2200,7807800,09:58:50
3549,1500,5323500,09:58:50
3550,100,355000,09:58:50
3550,100,355000,09:58:48
3550,1900,6745000,09:58:47
3551,4700,16689700,09:58:47
3551,200,710200,09:58:47
3551,200,710200,09:58:47
3551,200,710200,09:58:47
3551,400,1420400,09:58:47
3551,100,355100,09:58:47
3551,300,1065300,09:58:47
3551,100,355100,09:58:46
3550,100,355000,09:58:45
3550,100,355000,09:58:44
3551,100,355100,09:58:42
3551,100,355100,09:58:40
3551,100,355100,09:58:39
3551,100,355100,09:58:39
3552,1000,3552000,09:58:39
3551,1500,5326500,09:58:39
3551,100,355100,09:58:39
3551,100,355100,09:58:39
3551,400,1420400,09:58:39
3551,200,710200,09:58:38
3551,300,1065300,09:58:38
3551,100,355100,09:58:38
3551,400,1420400,09:58:38
3551,100,355100,09:58:38
3551,100,355100,09:58:38
3551,100,355100,09:58:38
3551,100,355100,09:58:38
3551,100,355100,09:58:38
3550,1000,3550000,09:58:38
3550,200,710000,09:58:38
3550,200,710000,09:58:38
3550,300,1065000,09:58:38
3549,100,354900,09:58:38
3550,2400,8520000,09:58:38
3549,3800,13486200,09:58:38
3549,100,354900,09:58:37
3549,100,354900,09:58:37
3548,100,354800,09:58:36
3548,2600,9224800,09:58:36
3548,300,1064400,09:58:35
3548,100,354800,09:58:30
3547,200,709400,09:58:30
3547,1100,3901700,09:58:29
3546,100,354600,09:58:27
3546,100,354600,09:58:24
3547,100,354700,09:58:23
3546,100,354600,09:58:22
3546,900,3191400,09:58:22
3546,100,354600,09:58:22
3545,2400,8508000,09:58:22
3545,200,709000,09:58:22
3545,800,2836000,09:58:20
3544,100,354400,09:58:19
3544,100,354400,09:58:18
3544,300,1063200,09:58:11
3544,100,354400,09:58:09
3544,200,708800,09:58:09
3544,200,708800,09:58:09
3543,200,708600,09:58:08
3544,100,354400,09:58:07
3544,100,354400,09:58:05
3543,100,354300,09:58:05
3543,100,354300,09:58:05
3544,200,708800,09:58:05
3544,100,354400,09:58:05
3544,1100,3898400,09:58:05
3545,1100,3899500,09:58:04
3545,100,354500,09:58:00
3545,300,1063500,09:58:00
3545,100,354500,09:58:00
3545,700,2481500,09:57:58
3545,1300,4608500,09:57:58
3544,1200,4252800,09:57:57
3544,400,1417600,09:57:57
3544,200,708800,09:57:57
3544,500,1772000,09:57:57
3544,200,708800,09:57:57
3544,200,708800,09:57:57
3544,200,708800,09:57:57
3545,100,354500,09:57:56
3545,200,709000,09:57:55
3544,100,354400,09:57:52
3545,200,709000,09:57:47
3546,300,1063800,09:57:46
3546,100,354600,09:57:46
3545,100,354500,09:57:46
3545,100,354500,09:57:44
3545,1600,5672000,09:57:44
3545,700,2481500,09:57:44
3545,800,2836000,09:57:44
3545,700,2481500,09:57:44
3545,700,2481500,09:57:44
3545,200,709000,09:57:44
3545,400,1418000,09:57:44
3544,200,708800,09:57:38
3544,100,354400,09:57:38
3543,400,1417200,09:57:37
3543,2400,8503200,09:57:36
3543,300,1062900,09:57:34
3543,200,708600,09:57:34
3543,500,1771500,09:57:34
3543,100,354300,09:57:33
3543,100,354300,09:57:30
3544,800,2835200,09:57:30
3543,1300,4605900,09:57:28
3543,100,354300,09:57:28
3543,100,354300,09:57:28
3543,200,708600,09:57:28
3543,200,708600,09:57:28
3544,100,354400,09:57:27
3544,300,1063200,09:57:24
3544,200,708800,09:57:24
3543,1000,3543000,09:57:23
3543,100,354300,09:57:21
3543,100,354300,09:57:21
3543,200,708600,09:57:21
3543,300,1062900,09:57:20
3543,200,708600,09:57:20
3544,100,354400,09:57:20
3543,200,708600,09:57:20
3543,100,354300,09:57:19
3543,100,354300,09:57:19
3543,500,1771500,09:57:18
3543,400,1417200,09:57:18
3543,200,708600,09:57:18
3544,500,1772000,09:57:18
3544,100,354400,09:57:16
3545,100,354500,09:57:14
3544,200,708800,09:57:13
3544,200,708800,09:57:13
3545,600,2127000,09:57:12
3543,100,354300,09:57:12
3543,1200,4251600,09:57:12
3544,200,708800,09:57:12
3544,100,354400,09:57:11
3544,900,3189600,09:57:11
3544,300,1063200,09:57:11
3544,100,354400,09:57:11
3545,100,354500,09:57:10
3545,1800,6381000,09:57:09
3546,100,354600,09:57:09
3546,100,354600,09:57:08
3546,100,354600,09:57:08
3546,100,354600,09:57:08
3546,100,354600,09:57:07
3547,2000,7094000,09:57:07
3546,500,1773000,09:57:07
3546,100,354600,09:57:06
3545,100,354500,09:57:04
3545,100,354500,09:57:04
3546,100,354600,09:57:02
3546,200,709200,09:57:02
3545,100,354500,09:57:01
3545,100,354500,09:57:01
3546,200,709200,09:57:00
3546,100,354600,09:57:00
3546,100,354600,09:57:00
3546,1700,6028200,09:56:59
3547,100,354700,09:56:59
3547,300,1064100,09:56:56
3547,100,354700,09:56:56
3547,100,354700,09:56:55
3546,100,354600,09:56:55
3547,100,354700,09:56:53
3547,100,354700,09:56:52
3546,100,354600,09:56:52
3547,100,354700,09:56:51
3547,900,3192300,09:56:51
3548,500,1774000,09:56:51
3548,100,354800,09:56:50
3548,100,354800,09:56:50
3548,300,1064400,09:56:49
3548,400,1419200,09:56:48
3547,2000,7094000,09:56:47
3547,400,1418800,09:56:47
3547,200,709400,09:56:46
3547,500,1773500,09:56:46
3547,200,709400,09:56:46
3546,100,354600,09:56:46
3546,1200,4255200,09:56:45
3546,100,354600,09:56:45
3546,1200,4255200,09:56:45
3546,100,354600,09:56:45
3545,100,354500,09:56:43
3546,100,354600,09:56:43
3546,100,354600,09:56:42
3546,500,1773000,09:56:42
3546,300,1063800,09:56:42
3545,5300,18788500,09:56:42
3544,600,2126400,09:56:40
3544,200,708800,09:56:40
3544,200,708800,09:56:39
3542,900,3187800,09:56:38
3543,3400,12046200,09:56:38
3544,200,708800,09:56:38
3544,100,354400,09:56:37
3544,200,708800,09:56:37
3544,2000,7088000,09:56:35
3544,100,354400,09:56:35
3544,4300,15239200,09:56:35
3544,500,1772000,09:56:35
3544,100,354400,09:56:35
3543,600,2125800,09:56:34
3543,200,708600,09:56:33
3543,100,354300,09:56:31
3543,100,354300,09:56:30
3543,100,354300,09:56:30
3543,100,354300,09:56:29
3544,1400,4961600,09:56:27
3543,100,354300,09:56:24
3543,100,354300,09:56:23
3543,300,1062900,09:56:23
3543,100,354300,09:56:23
3543,100,354300,09:56:21
3543,200,708600,09:56:21
3543,200,708600,09:56:21
3543,200,708600,09:56:21
3542,500,1771000,09:56:20
3541,100,354100,09:56:19
3541,100,354100,09:56:18
3541,100,354100,09:56:18
3541,100,354100,09:56:18
3540,100,354000,09:56:17
3540,100,354000,09:56:17
3540,2600,9204000,09:56:17
3541,300,1062300,09:56:17
3541,100,354100,09:56:15
3541,300,1062300,09:56:14
3541,200,708200,09:56:13
3541,100,354100,09:56:13
3542,300,1062600,09:56:13
3541,500,1770500,09:56:13
