値段,株数,金額,時刻
1605,57600,92448000,15:30:00
1612,600,967200,15:24:54
1614,100,161400,15:24:44
1614,100,161400,15:24:43
1612,300,483600,15:24:37
1612,100,161200,15:24:37
1612,100,161200,15:24:37
1612,1000,1612000,15:24:37
1612,100,161200,15:24:37
1613,1600,2580800,15:24:37
1614,100,161400,15:24:36
1613,100,161300,15:24:33
1613,200,322600,15:24:29
1614,100,161400,15:24:26
1613,100,161300,15:24:20
1613,100,161300,15:24:17
1613,100,161300,15:24:08
1613,100,161300,15:24:07
1615,100,161500,15:24:01
1614,100,161400,15:24:00
1614,300,484200,15:24:00
1615,300,484500,15:23:49
1615,200,323000,15:23:48
1615,100,161500,15:23:48
1615,100,161500,15:23:48
1615,600,969000,15:23:48
1615,200,323000,15:23:48
1616,100,161600,15:23:48
1616,100,161600,15:23:48
1616,100,161600,15:23:48
1616,500,808000,15:23:48
1616,600,969600,15:23:48
1616,2600,4201600,15:23:48
1615,200,323000,15:23:47
1615,100,161500,15:23:47
1615,100,161500,15:23:47
1615,100,161500,15:23:47
1615,500,807500,15:23:42
1614,100,161400,15:23:42
1614,100,161400,15:23:39
1614,100,161400,15:23:33
1616,100,161600,15:23:33
1614,300,484200,15:23:28
1615,200,323000,15:23:25
1615,200,323000,15:23:20
1614,500,807000,15:23:20
1614,200,322800,15:23:18
1615,400,646000,15:23:14
1614,100,161400,15:23:14
1615,500,807500,15:23:08
1614,200,322800,15:23:08
1614,100,161400,15:23:01
1614,100,161400,15:23:01
1614,100,161400,15:23:01
1613,100,161300,15:22:46
1616,1100,1777600,15:22:22
1615,2400,3876000,15:22:22
1614,300,484200,15:22:22
1613,600,967800,15:22:22
1612,100,161200,15:22:18
1612,1100,1773200,15:22:14
1612,200,322400,15:22:14
1612,100,161200,15:22:07
1613,1300,2096900,15:22:03
1613,100,161300,15:22:03
1613,100,161300,15:22:02
1613,500,806500,15:22:02
1613,100,161300,15:22:00
1613,100,161300,15:21:46
1613,200,322600,15:21:45
1614,1000,1614000,15:21:42
1613,100,161300,15:21:42
1613,100,161300,15:21:35
1614,100,161400,15:21:33
1614,500,807000,15:21:32
1614,100,161400,15:21:30
1613,600,967800,15:21:30
1614,1600,2582400,15:21:22
1614,100,161400,15:21:18
1614,100,161400,15:21:17
1613,600,967800,15:21:01
1613,300,483900,15:21:00
1613,100,161300,15:20:50
1613,100,161300,15:20:48
1613,100,161300,15:20:48
1613,600,967800,15:20:40
1613,400,645200,15:20:36
1613,500,806500,15:20:35
1613,400,645200,15:20:28
1611,100,161100,15:20:27
1612,100,161200,15:20:22
1613,400,645200,15:20:21
1613,400,645200,15:20:17
1613,100,161300,15:20:17
1612,100,161200,15:20:17
1614,100,161400,15:20:14
1613,400,645200,15:20:12
1613,200,322600,15:20:10
1613,400,645200,15:20:10
1611,100,161100,15:20:05
1613,100,161300,15:20:04
1612,200,322400,15:20:03
1612,400,644800,15:20:03
1612,200,322400,15:20:03
1612,2700,4352400,15:20:03
1611,100,161100,15:20:01
1611,100,161100,15:19:56
1611,100,161100,15:19:52
1611,100,161100,15:19:52
1611,100,161100,15:19:52
1611,200,322200,15:19:52
1611,100,161100,15:19:51
1611,300,483300,15:19:51
1610,100,161000,15:19:44
1612,100,161200,15:19:40
1612,1000,1612000,15:19:35
1612,100,161200,15:19:33
1611,300,483300,15:19:33
1612,100,161200,15:19:06
1611,1300,2094300,15:19:05
1611,100,161100,15:19:05
1611,500,805500,15:19:05
1612,9500,15314000,15:19:05
1612,100,161200,15:19:05
1612,100,161200,15:19:03
1613,100,161300,15:19:02
1613,100,161300,15:19:00
1613,2200,3548600,15:18:53
1613,800,1290400,15:18:53
1613,100,161300,15:18:42
1611,1600,2577600,15:18:41
1612,200,322400,15:18:41
1613,400,645200,15:18:36
1612,600,967200,15:18:36
1612,100,161200,15:18:30
1613,200,322600,15:18:19
1612,300,483600,15:18:19
1613,200,322600,15:18:16
1611,100,161100,15:18:16
1611,100,161100,15:18:16
1613,300,483900,15:18:10
1611,100,161100,15:18:09
1612,500,806000,15:18:07
1613,200,322600,15:18:07
1613,400,645200,15:18:07
1615,100,161500,15:18:07
1614,1100,1775400,15:18:07
1613,100,161300,15:18:01
1612,100,161200,15:18:01
1613,1000,1613000,15:18:01
1612,900,1450800,15:18:01
1611,400,644400,15:18:00
1611,100,161100,15:18:00
1610,4600,7406000,15:18:00
1610,100,161000,15:17:59
1609,200,321800,15:17:57
1609,300,482700,15:17:49
1608,200,321600,15:17:49
1609,1500,2413500,15:17:48
1609,100,160900,15:17:47
1609,100,160900,15:17:45
1608,200,321600,15:17:44
1609,100,160900,15:17:37
1609,700,1126300,15:17:36
1608,2300,3698400,15:17:36
1607,200,321400,15:17:31
1607,1700,2731900,15:17:31
1608,100,160800,15:17:27
1607,200,321400,15:17:27
1607,1000,1607000,15:17:25
1607,1400,2249800,15:17:25
1607,1600,2571200,15:17:25
1606,100,160600,15:17:23
1606,100,160600,15:17:22
1605,1800,2889000,15:17:21
1605,100,160500,15:17:04
1604,100,160400,15:17:03
1604,100,160400,15:16:32
1605,100,160500,15:16:27
1605,200,321000,15:16:22
1606,100,160600,15:16:22
1605,2900,4654500,15:16:17
1605,800,1284000,15:16:17
1604,100,160400,15:16:17
1604,100,160400,15:16:06
1605,600,963000,15:16:05
1604,3200,5132800,15:16:05
