値段,株数,金額,時刻
4906,100,490600,09:53:53
4908,100,490800,09:53:52
4908,200,981600,09:53:52
4907,400,1962800,09:53:52
4907,600,2944200,09:53:52
4906,300,1471800,09:53:52
4905,600,2943000,09:53:52
4905,1100,5395500,09:53:52
4903,1000,4903000,09:53:52
4904,700,3432800,09:53:52
4903,300,1470900,09:53:52
4903,200,980600,09:53:51
4902,100,490200,09:53:51
4902,100,490200,09:53:50
4903,500,2451500,09:53:50
4903,100,490300,09:53:50
4903,200,980600,09:53:50
4902,400,1960800,09:53:50
4901,500,2450500,09:53:49
4901,200,980200,09:53:49
4901,100,490100,09:53:49
4900,100,490000,09:53:48
4900,100,490000,09:53:48
4900,100,490000,09:53:48
4900,100,490000,09:53:48
4900,100,490000,09:53:48
4900,200,980000,09:53:48
4900,100,490000,09:53:48
4900,700,3430000,09:53:48
4899,100,489900,09:53:48
4899,600,2939400,09:53:48
4898,100,489800,09:53:47
4898,100,489800,09:53:47
4899,200,979800,09:53:47
4899,700,3429300,09:53:47
4899,100,489900,09:53:47
4898,300,1469400,09:53:47
4898,300,1469400,09:53:46
4897,100,489700,09:53:46
4899,100,489900,09:53:46
4898,100,489800,09:53:46
4898,100,489800,09:53:46
4897,100,489700,09:53:46
4898,300,1469400,09:53:46
4898,100,489800,09:53:46
4898,100,489800,09:53:46
4897,400,1958800,09:53:46
4897,100,489700,09:53:46
4897,100,489700,09:53:46
4898,200,979600,09:53:46
4897,200,979400,09:53:46
4898,200,979600,09:53:46
4898,100,489800,09:53:46
4898,600,2938800,09:53:46
4898,100,489800,09:53:46
4897,100,489700,09:53:46
4898,100,489800,09:53:46
4899,100,489900,09:53:46
4898,100,489800,09:53:46
4897,100,489700,09:53:46
4898,300,1469400,09:53:46
4898,4900,24000200,09:53:46
4899,100,489900,09:53:46
4899,300,1469700,09:53:46
4899,600,2939400,09:53:46
4899,800,3919200,09:53:46
4900,14600,71540000,09:53:46
4901,9600,47049600,09:53:46
4902,100,490200,09:53:45
4902,100,490200,09:53:45
4902,100,490200,09:53:45
4902,100,490200,09:53:45
4902,100,490200,09:53:45
4902,1700,8333400,09:53:45
4903,100,490300,09:53:44
4904,100,490400,09:53:44
4904,600,2942400,09:53:44
4904,1800,8827200,09:53:44
4903,100,490300,09:53:43
4903,100,490300,09:53:43
4903,100,490300,09:53:43
4903,300,1470900,09:53:43
4903,100,490300,09:53:43
4902,200,980400,09:53:43
4903,200,980600,09:53:42
4902,100,490200,09:53:42
4903,100,490300,09:53:42
4903,100,490300,09:53:42
4902,100,490200,09:53:42
4902,100,490200,09:53:41
4903,100,490300,09:53:41
4902,200,980400,09:53:41
4903,100,490300,09:53:41
4902,100,490200,09:53:40
4903,100,490300,09:53:40
4903,200,980600,09:53:40
4903,100,490300,09:53:39
4903,100,490300,09:53:39
4903,200,980600,09:53:39
4903,200,980600,09:53:38
4903,200,980600,09:53:38
4904,400,1961600,09:53:38
4904,500,2452000,09:53:38
4903,100,490300,09:53:38
4903,200,980600,09:53:37
4903,100,490300,09:53:36
4903,600,2941800,09:53:35
4904,400,1961600,09:53:35
4904,200,980800,09:53:35
4904,500,2452000,09:53:35
4904,1400,6865600,09:53:34
4903,100,490300,09:53:33
4904,100,490400,09:53:33
4904,100,490400,09:53:33
4904,400,1961600,09:53:33
4904,100,490400,09:53:32
4904,100,490400,09:53:32
4903,100,490300,09:53:32
4904,500,2452000,09:53:32
4904,200,980800,09:53:32
4903,1900,9315700,09:53:32
4904,100,490400,09:53:32
4904,100,490400,09:53:32
4904,800,3923200,09:53:32
4904,100,490400,09:53:32
4904,100,490400,09:53:32
4904,100,490400,09:53:31
4904,3100,15202400,09:53:31
4905,600,2943000,09:53:31
4906,100,490600,09:53:31
4906,5000,24530000,09:53:31
4906,100,490600,09:53:31
4905,100,490500,09:53:30
