値段,株数,金額,時刻
2786,200,557200,10:02:12
2784,100,278400,10:02:12
2786,600,1671600,10:02:11
2785,500,1392500,10:02:11
2784,200,556800,10:02:10
2784,100,278400,10:02:09
2783,300,834900,10:02:08
2783,200,556600,10:02:08
2781,100,278100,10:02:06
2782,400,1112800,10:02:06
2781,100,278100,10:02:05
2781,100,278100,10:02:05
2781,100,278100,10:02:05
2781,100,278100,10:02:05
2780,100,278000,10:02:03
2780,100,278000,10:02:03
2781,100,278100,10:02:03
2780,200,556000,10:02:03
2781,100,278100,10:02:03
2781,200,556200,10:02:03
2781,200,556200,10:02:03
2781,500,1390500,10:02:03
2780,300,834000,10:02:03
2779,100,277900,10:02:03
2779,100,277900,10:02:03
2778,100,277800,10:02:03
2780,700,1946000,10:02:02
2779,300,833700,10:02:02
2778,100,277800,10:02:02
2778,100,277800,10:02:02
2779,200,555800,10:02:02
2778,400,1111200,10:02:02
2777,100,277700,10:02:01
2778,100,277800,10:02:01
2779,100,277900,10:02:01
2779,400,1111600,10:02:01
2778,200,555600,10:02:00
2777,200,555400,10:02:00
2778,100,277800,10:02:00
2778,100,277800,10:02:00
2778,400,1111200,10:02:00
2777,500,1388500,10:02:00
2777,400,1110800,10:02:00
2776,100,277600,10:02:00
2776,100,277600,10:02:00
2775,100,277500,10:02:00
2775,200,555000,10:02:00
2775,400,1110000,10:01:59
2775,100,277500,10:01:59
2776,300,832800,10:01:59
2776,100,277600,10:01:59
2777,200,555400,10:01:59
2777,200,555400,10:01:59
2778,100,277800,10:01:59
2777,100,277700,10:01:59
2778,100,277800,10:01:59
2778,100,277800,10:01:59
2777,100,277700,10:01:59
2778,300,833400,10:01:59
2778,100,277800,10:01:59
2779,100,277900,10:01:59
2779,100,277900,10:01:59
2781,100,278100,10:01:59
2780,3100,8618000,10:01:59
2781,100,278100,10:01:59
2781,200,556200,10:01:59
2781,500,1390500,10:01:58
2784,100,278400,10:01:58
2781,200,556200,10:01:58
2782,1500,4173000,10:01:58
