値段,株数,金額,時刻
2869,100,286900,09:59:30
2868,700,2007600,09:59:29
2869,1300,3729700,09:59:29
2870,300,861000,09:59:29
2870,100,287000,09:59:28
2869,100,286900,09:59:27
2868,400,1147200,09:59:27
2869,100,286900,09:59:26
2868,600,1720800,09:59:26
2868,200,573600,09:59:26
2869,100,286900,09:59:26
2869,600,1721400,09:59:26
2870,100,287000,09:59:26
2869,100,286900,09:59:25
2870,900,2583000,09:59:25
2869,400,1147600,09:59:25
2868,600,1720800,09:59:25
2868,100,286800,09:59:24
2869,1100,3155900,09:59:24
2870,400,1148000,09:59:24
2870,1000,2870000,09:59:24
2871,200,574200,09:59:22
2871,100,287100,09:59:21
2872,200,574400,09:59:21
2871,100,287100,09:59:20
2871,100,287100,09:59:20
2873,100,287300,09:59:19
2872,100,287200,09:59:19
2872,100,287200,09:59:19
2872,400,1148800,09:59:19
2872,100,287200,09:59:19
2873,200,574600,09:59:16
2873,200,574600,09:59:16
2873,100,287300,09:59:15
2873,100,287300,09:59:14
2873,100,287300,09:59:14
2873,100,287300,09:59:14
2873,100,287300,09:59:14
2874,600,1724400,09:59:14
2874,100,287400,09:59:14
2874,100,287400,09:59:14
2875,100,287500,09:59:13
2875,100,287500,09:59:13
2875,300,862500,09:59:13
2875,1900,5462500,09:59:13
2875,100,287500,09:59:13
2876,300,862800,09:59:12
2876,100,287600,09:59:09
2876,100,287600,09:59:09
2876,400,1150400,09:59:09
2877,800,2301600,09:59:09
2878,1900,5468200,09:59:09
2879,200,575800,09:59:09
2880,100,288000,09:59:09
2879,1100,3166900,09:59:09
2882,200,576400,09:59:09
2880,200,576000,09:59:09
2879,100,287900,09:59:06
2881,200,576200,09:59:01
2880,300,864000,09:59:00
2880,100,288000,09:58:56
2880,700,2016000,09:58:56
2879,100,287900,09:58:55
2879,300,863700,09:58:53
2878,100,287800,09:58:51
2878,100,287800,09:58:51
2878,300,863400,09:58:51
2879,100,287900,09:58:48
2879,100,287900,09:58:48
2878,500,1439000,09:58:46
2878,100,287800,09:58:46
2879,100,287900,09:58:45
2880,200,576000,09:58:43
2879,100,287900,09:58:40
2879,100,287900,09:58:40
2879,700,2015300,09:58:39
2880,100,288000,09:58:39
2880,100,288000,09:58:39
2880,300,864000,09:58:27
2878,100,287800,09:58:25
2880,300,864000,09:58:25
2881,500,1440500,09:58:22
2882,300,864600,09:58:19
2882,200,576400,09:58:19
2883,100,288300,09:58:19
2882,1900,5475800,09:58:19
2882,500,1441000,09:58:18
2880,100,288000,09:58:18
2881,100,288100,09:58:18
