値段,株数,金額,時刻
2344,179600,420982400,15:30:00
2341,400,936400,15:24:59
2339,100,233900,15:24:59
2340,100,234000,15:24:59
2343,100,234300,15:24:59
2343,300,702900,15:24:59
2343,200,468600,15:24:59
2343,100,234300,15:24:59
2340,100,234000,15:24:59
2340,200,468000,15:24:59
2338,100,233800,15:24:58
2339,100,233900,15:24:58
2339,200,467800,15:24:58
2339,400,935600,15:24:57
2342,100,234200,15:24:55
2335,100,233500,15:24:55
2335,100,233500,15:24:55
2339,100,233900,15:24:55
2340,300,702000,15:24:55
2338,100,233800,15:24:55
2338,100,233800,15:24:54
2340,100,234000,15:24:54
2339,500,1169500,15:24:54
2338,200,467600,15:24:54
2337,100,233700,15:24:54
2333,100,233300,15:24:53
2337,100,233700,15:24:53
2333,100,233300,15:24:53
2335,100,233500,15:24:53
2337,100,233700,15:24:53
2337,100,233700,15:24:53
2337,100,233700,15:24:52
2334,100,233400,15:24:52
2338,200,467600,15:24:51
2337,100,233700,15:24:51
2338,600,1402800,15:24:51
2336,100,233600,15:24:51
2338,100,233800,15:24:50
2334,200,466800,15:24:50
2335,100,233500,15:24:50
2340,100,234000,15:24:48
2335,100,233500,15:24:48
2340,100,234000,15:24:47
2339,100,233900,15:24:47
2335,300,700500,15:24:47
2336,600,1401600,15:24:47
2337,100,233700,15:24:47
2338,300,701400,15:24:47
2338,100,233800,15:24:47
2339,100,233900,15:24:47
2340,3200,7488000,15:24:47
2340,6000,14040000,15:24:47
2341,200,468200,15:24:47
2340,100,234000,15:24:47
2340,200,468000,15:24:47
2340,200,468000,15:24:47
2340,100,234000,15:24:46
2341,100,234100,15:24:46
2341,100,234100,15:24:46
2342,100,234200,15:24:46
2343,500,1171500,15:24:45
2343,100,234300,15:24:45
2343,200,468600,15:24:45
2343,100,234300,15:24:45
2343,200,468600,15:24:44
2341,300,702300,15:24:44
2342,300,702600,15:24:44
2343,100,234300,15:24:43
2347,100,234700,15:24:43
2341,400,936400,15:24:43
2342,500,1171000,15:24:43
2343,900,2108700,15:24:43
2344,400,937600,15:24:43
2345,300,703500,15:24:43
2348,100,234800,15:24:42
2345,100,234500,15:24:42
2344,200,468800,15:24:41
2348,100,234800,15:24:41
2345,100,234500,15:24:41
2348,400,939200,15:24:40
2345,100,234500,15:24:40
2348,100,234800,15:24:40
2347,400,938800,15:24:40
2346,200,469200,15:24:40
2343,200,468600,15:24:39
2341,100,234100,15:24:38
2342,100,234200,15:24:38
2343,300,702900,15:24:38
2343,100,234300,15:24:38
2345,100,234500,15:24:38
2345,100,234500,15:24:38
2345,100,234500,15:24:38
2341,100,234100,15:24:37
2346,100,234600,15:24:37
2342,100,234200,15:24:37
2348,100,234800,15:24:36
2347,100,234700,15:24:36
2342,600,1405200,15:24:36
2343,300,702900,15:24:36
2343,100,234300,15:24:36
2347,200,469400,15:24:36
2346,100,234600,15:24:36
2346,500,1173000,15:24:36
2343,100,234300,15:24:36
2345,1700,3986500,15:24:36
2343,100,234300,15:24:36
2344,500,1172000,15:24:36
2340,100,234000,15:24:35
2340,100,234000,15:24:35
2340,100,234000,15:24:35
2340,300,702000,15:24:35
2340,100,234000,15:24:35
2340,500,1170000,15:24:35
2340,500,1170000,15:24:35
2341,400,936400,15:24:34
2343,900,2108700,15:24:34
2342,500,1171000,15:24:34
2341,1300,3043300,15:24:34
2340,7600,17784000,15:24:34
2339,300,701700,15:24:34
2338,100,233800,15:24:34
2337,300,701100,15:24:34
2336,300,700800,15:24:34
2336,100,233600,15:24:33
2335,100,233500,15:24:32
2333,400,933200,15:24:31
2333,400,933200,15:24:31
2334,500,1167000,15:24:30
2334,100,233400,15:24:30
2334,100,233400,15:24:30
2335,1100,2568500,15:24:30
2335,100,233500,15:24:30
2336,400,934400,15:24:30
2340,100,234000,15:24:29
2337,300,701100,15:24:28
2337,500,1168500,15:24:28
2337,100,233700,15:24:28
2338,200,467600,15:24:28
2339,100,233900,15:24:27
2338,100,233800,15:24:26
2338,100,233800,15:24:26
2341,300,702300,15:24:25
2340,200,468000,15:24:24
2340,300,702000,15:24:24
2339,100,233900,15:24:23
2336,100,233600,15:24:23
2338,200,467600,15:24:23
2341,100,234100,15:24:21
2339,200,467800,15:24:21
2338,100,233800,15:24:21
2340,100,234000,15:24:21
2340,700,1638000,15:24:20
2340,300,702000,15:24:20
2340,100,234000,15:24:19
2340,100,234000,15:24:19
2340,100,234000,15:24:19
2340,100,234000,15:24:18
2339,500,1169500,15:24:18
2338,100,233800,15:24:17
2334,100,233400,15:24:17
2336,300,700800,15:24:17
2338,100,233800,15:24:17
2336,600,1401600,15:24:17
2334,100,233400,15:24:16
2338,100,233800,15:24:15
2337,200,467400,15:24:15
2335,300,700500,15:24:15
2336,200,467200,15:24:14
2336,400,934400,15:24:13
2335,500,1167500,15:24:13
2335,200,467000,15:24:13
2333,100,233300,15:24:13
2333,100,233300,15:24:13
2335,200,467000,15:24:13
2335,200,467000,15:24:12
2332,100,233200,15:24:11
2332,500,1166000,15:24:11
2333,1100,2566300,15:24:11
2333,400,933200,15:24:11
2332,200,466400,15:24:11
2332,100,233200,15:24:11
2333,100,233300,15:24:11
2330,200,466000,15:24:09
2330,900,2097000,15:24:08
2330,100,233000,15:24:07
2333,100,233300,15:24:05
2333,100,233300,15:24:05
2330,300,699000,15:24:05
2330,400,932000,15:24:04
2333,100,233300,15:24:04
2332,100,233200,15:24:03
2330,100,233000,15:24:03
2331,100,233100,15:24:03
2333,100,233300,15:24:02
2333,100,233300,15:24:02
2330,200,466000,15:24:00
2330,100,233000,15:24:00
2332,100,233200,15:24:00
2332,500,1166000,15:24:00
2330,100,233000,15:23:59
2329,800,1863200,15:23:58
2330,100,233000,15:23:58
2330,100,233000,15:23:56
2332,200,466400,15:23:55
2332,400,932800,15:23:55
2331,100,233100,15:23:55
2332,100,233200,15:23:55
2332,200,466400,15:23:55
2336,200,467200,15:23:53
2335,100,233500,15:23:53
2334,100,233400,15:23:53
2333,100,233300,15:23:53
2332,100,233200,15:23:53
2330,100,233000,15:23:52
2330,100,233000,15:23:51
2331,100,233100,15:23:51
2333,100,233300,15:23:50
2333,100,233300,15:23:50
2333,100,233300,15:23:49
2332,300,699600,15:23:48
2332,200,466400,15:23:48
2333,100,233300,15:23:48
2330,500,1165000,15:23:47
2332,400,932800,15:23:46
2331,2600,6060600,15:23:46
2331,700,1631700,15:23:46
2330,300,699000,15:23:46
2330,100,233000,15:23:45
2326,100,232600,15:23:44
2329,100,232900,15:23:44
2330,100,233000,15:23:44
2329,100,232900,15:23:43
2329,100,232900,15:23:41
2329,200,465800,15:23:41
2329,100,232900,15:23:39
2329,300,698700,15:23:39
2330,100,233000,15:23:38
2329,400,931600,15:23:37
2327,400,930800,15:23:37
2325,100,232500,15:23:36
2327,100,232700,15:23:36
2327,100,232700,15:23:36
2323,100,232300,15:23:35
2323,100,232300,15:23:35
2323,100,232300,15:23:35
2322,200,464400,15:23:33
2323,200,464600,15:23:33
2325,300,697500,15:23:33
2325,2600,6045000,15:23:33
2326,100,232600,15:23:33
2326,200,465200,15:23:33
2326,100,232600,15:23:33
2326,200,465200,15:23:32
2327,200,465400,15:23:32
2328,300,698400,15:23:32
2331,100,233100,15:23:31
2329,300,698700,15:23:31
2333,400,933200,15:23:31
2328,300,698400,15:23:30
2331,400,932400,15:23:29
2331,100,233100,15:23:29
2330,400,932000,15:23:29
2329,100,232900,15:23:29
2329,200,465800,15:23:29
2331,100,233100,15:23:29
2329,100,232900,15:23:29
2329,100,232900,15:23:29
2329,200,465800,15:23:28
2330,300,699000,15:23:28
2331,1300,3030300,15:23:28
2332,300,699600,15:23:28
2333,700,1633100,15:23:28
2335,400,934000,15:23:28
2336,5700,13315200,15:23:28
2336,2400,5606400,15:23:28
2336,100,233600,15:23:27
2339,100,233900,15:23:27
2337,300,701100,15:23:27
2336,100,233600,15:23:27
2336,300,700800,15:23:26
2338,100,233800,15:23:26
2336,800,1868800,15:23:26
2337,100,233700,15:23:26
2337,100,233700,15:23:26
2337,100,233700,15:23:24
2336,200,467200,15:23:24
