受渡日,約定日,銘柄コード,銘柄名,口座区分,預り区分,市場,売買,商品区分,取引区分,約定数量,約定単価,約定代金,手数料（税込）,受渡金額,建市場,建日,建単価,建手数料（税込）,管理費（税込）,支払利息,受取利息,名義書換料（税込）,実現損益,税引前金額,所得税,地方税
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2528,252800,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2537,253700,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2553,255300,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2457,245700,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2451,245100,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2467,246700,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,売,株式,新規（一日）,100,2484,248400,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2500,250000,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2528,252800,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2523,252300,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2548,254800,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2496,249600,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2569,256900,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2586,258600,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2532,253200,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2519,251900,0,,,,,,,,,,,,,
2026/8/31,2026/8/27,63300,東洋エンジ,特定,,東証,買,株式,新規（一日）,100,2478,247800,0,,,,,,,,,,,,,
