値段,株数,金額,時刻
35270,1777500,62692425000,15:30:00
35480,200,7096000,15:24:59
35480,500,17740000,15:24:59
35490,500,17745000,15:24:58
35490,100,3549000,15:24:58
35490,400,14196000,15:24:57
35490,100,3549000,15:24:57
35490,100,3549000,15:24:57
35490,100,3549000,15:24:57
35490,200,7098000,15:24:56
35500,100,3550000,15:24:56
35500,100,3550000,15:24:56
35500,100,3550000,15:24:56
35500,600,21300000,15:24:54
35500,100,3550000,15:24:52
35500,400,14200000,15:24:51
35500,100,3550000,15:24:51
35500,200,7100000,15:24:51
35500,100,3550000,15:24:50
35510,100,3551000,15:24:50
35500,2300,81650000,15:24:50
35500,6900,244950000,15:24:50
35500,3500,124250000,15:24:50
35500,200,7100000,15:24:49
35500,100,3550000,15:24:49
35500,400,14200000,15:24:49
35490,1500,53235000,15:24:48
35490,100,3549000,15:24:48
35490,300,10647000,15:24:48
35480,100,3548000,15:24:47
35490,100,3549000,15:24:47
35480,100,3548000,15:24:46
35490,100,3549000,15:24:45
35490,100,3549000,15:24:45
35480,100,3548000,15:24:45
35490,100,3549000,15:24:45
35480,100,3548000,15:24:43
35480,100,3548000,15:24:42
35490,100,3549000,15:24:40
35480,100,3548000,15:24:39
35490,100,3549000,15:24:39
35490,100,3549000,15:24:38
35490,100,3549000,15:24:37
35490,700,24843000,15:24:37
35490,1300,46137000,15:24:36
35490,100,3549000,15:24:36
35480,300,10644000,15:24:36
35480,100,3548000,15:24:35
35480,100,3548000,15:24:34
35480,100,3548000,15:24:34
35480,100,3548000,15:24:34
35480,100,3548000,15:24:34
35480,100,3548000,15:24:33
35480,100,3548000,15:24:33
35480,100,3548000,15:24:33
35480,100,3548000,15:24:31
35480,100,3548000,15:24:30
35490,100,3549000,15:24:30
35490,500,17745000,15:24:30
35480,3300,117084000,15:24:30
35480,100,3548000,15:24:30
35470,100,3547000,15:24:30
35470,100,3547000,15:24:30
35470,100,3547000,15:24:30
35480,100,3548000,15:24:30
35460,100,3546000,15:24:30
35470,400,14188000,15:24:30
35460,300,10638000,15:24:29
35470,100,3547000,15:24:29
35470,100,3547000,15:24:29
35470,100,3547000,15:24:29
35470,100,3547000,15:24:28
35460,100,3546000,15:24:28
35460,100,3546000,15:24:28
35460,100,3546000,15:24:28
35460,100,3546000,15:24:27
35470,100,3547000,15:24:27
35470,100,3547000,15:24:27
35470,100,3547000,15:24:27
35470,100,3547000,15:24:26
35480,200,7096000,15:24:26
35470,100,3547000,15:24:26
35470,300,10641000,15:24:25
35470,100,3547000,15:24:25
35470,400,14188000,15:24:23
35460,100,3546000,15:24:22
35470,100,3547000,15:24:20
35470,100,3547000,15:24:20
35470,100,3547000,15:24:19
35470,300,10641000,15:24:19
35470,100,3547000,15:24:19
35470,100,3547000,15:24:17
35460,600,21276000,15:24:17
35470,200,7094000,15:24:14
35460,400,14184000,15:24:12
35460,100,3546000,15:24:12
35470,100,3547000,15:24:07
35450,100,3545000,15:24:07
35460,700,24822000,15:24:06
35450,100,3545000,15:24:06
35460,100,3546000,15:24:06
35470,1000,35470000,15:24:06
35460,100,3546000,15:24:06
35460,100,3546000,15:24:05
35470,1000,35470000,15:24:05
35470,1100,39017000,15:24:05
35470,900,31923000,15:24:05
35470,100,3547000,15:24:05
35460,100,3546000,15:24:04
35470,100,3547000,15:24:03
35460,300,10638000,15:24:03
35470,100,3547000,15:24:03
35470,500,17735000,15:24:03
35470,300,10641000,15:24:03
35480,100,3548000,15:24:03
35480,100,3548000,15:24:03
35480,100,3548000,15:24:02
35470,100,3547000,15:24:02
35480,100,3548000,15:24:02
35470,100,3547000,15:24:02
35470,100,3547000,15:24:02
35470,100,3547000,15:24:02
35470,100,3547000,15:24:02
35480,100,3548000,15:24:01
35470,100,3547000,15:24:01
35470,300,10641000,15:24:01
35450,1500,53175000,15:24:01
35460,800,28368000,15:24:01
35470,400,14188000,15:24:01
35470,1500,53205000,15:24:01
35470,900,31923000,15:24:01
35470,100,3547000,15:24:01
35460,700,24822000,15:24:01
35460,100,3546000,15:24:01
35460,900,31914000,15:24:00
35470,100,3547000,15:24:00
35470,800,28376000,15:24:00
35460,800,28368000,15:24:00
35450,1400,49630000,15:24:00
35460,300,10638000,15:24:00
35460,600,21276000,15:24:00
