値段,株数,金額,時刻
5161,8713000,44967793000,15:30:00
5154,100,515400,15:24:59
5154,300,1546200,15:24:59
5154,100,515400,15:24:59
5152,300,1545600,15:24:59
5154,400,2061600,15:24:59
5154,600,3092400,15:24:58
5153,100,515300,15:24:58
5153,100,515300,15:24:58
5153,900,4637700,15:24:58
5153,100,515300,15:24:58
5151,200,1030200,15:24:58
5152,1300,6697600,15:24:58
5153,400,2061200,15:24:58
5152,1700,8758400,15:24:58
5153,100,515300,15:24:58
5154,200,1030800,15:24:57
5153,100,515300,15:24:57
5153,100,515300,15:24:57
5153,100,515300,15:24:57
5154,300,1546200,15:24:56
5154,900,4638600,15:24:56
5153,100,515300,15:24:56
5153,100,515300,15:24:56
5154,100,515400,15:24:56
5154,100,515400,15:24:56
5154,100,515400,15:24:56
5153,1000,5153000,15:24:56
5153,200,1030600,15:24:56
5154,300,1546200,15:24:56
5153,400,2061200,15:24:56
5154,600,3092400,15:24:56
5154,300,1546200,15:24:56
5154,400,2061600,15:24:56
5154,200,1030800,15:24:56
5154,100,515400,15:24:56
5154,200,1030800,15:24:56
5156,100,515600,15:24:56
5155,5100,26290500,15:24:56
5154,400,2061600,15:24:56
5154,400,2061600,15:24:56
5153,100,515300,15:24:55
5154,100,515400,15:24:55
5153,200,1030600,15:24:55
5155,200,1031000,15:24:54
5153,100,515300,15:24:54
5154,100,515400,15:24:54
5154,400,2061600,15:24:54
5153,100,515300,15:24:54
5153,200,1030600,15:24:54
5153,100,515300,15:24:54
5154,200,1030800,15:24:54
5153,200,1030600,15:24:54
5154,100,515400,15:24:54
5152,100,515200,15:24:53
5152,200,1030400,15:24:53
5152,700,3606400,15:24:53
5154,100,515400,15:24:53
5152,200,1030400,15:24:53
5153,100,515300,15:24:53
5154,300,1546200,15:24:53
5152,200,1030400,15:24:53
5152,200,1030400,15:24:53
5154,1300,6700200,15:24:51
5153,700,3607100,15:24:50
5153,100,515300,15:24:50
5153,700,3607100,15:24:50
5153,300,1545900,15:24:50
5154,400,2061600,15:24:50
5154,1700,8761800,15:24:50
5154,100,515400,15:24:50
5154,100,515400,15:24:50
