値段,株数,金額,時刻
21620,82500,1783650000,15:30:00
21670,100,2167000,15:24:59
21660,100,2166000,15:24:59
21620,100,2162000,15:24:58
21620,100,2162000,15:24:58
21620,100,2162000,15:24:58
21650,300,6495000,15:24:58
21630,900,19467000,15:24:58
21630,100,2163000,15:24:58
21640,100,2164000,15:24:57
21640,200,4328000,15:24:57
21640,100,2164000,15:24:57
21640,100,2164000,15:24:56
21640,100,2164000,15:24:55
21650,100,2165000,15:24:55
21650,100,2165000,15:24:55
21640,100,2164000,15:24:54
21650,100,2165000,15:24:53
21670,100,2167000,15:24:53
21660,100,2166000,15:24:53
21640,100,2164000,15:24:52
21650,100,2165000,15:24:52
21660,100,2166000,15:24:50
21670,100,2167000,15:24:50
21670,100,2167000,15:24:50
21680,1400,30352000,15:24:49
21680,200,4336000,15:24:49
21690,200,4338000,15:24:49
21680,400,8672000,15:24:49
21670,100,2167000,15:24:48
21670,100,2167000,15:24:48
21660,300,6498000,15:24:47
21640,100,2164000,15:24:47
21650,100,2165000,15:24:45
21650,100,2165000,15:24:45
21640,100,2164000,15:24:45
21650,400,8660000,15:24:45
21640,200,4328000,15:24:44
21630,100,2163000,15:24:43
21650,100,2165000,15:24:42
21630,100,2163000,15:24:41
21630,100,2163000,15:24:41
21640,100,2164000,15:24:40
21630,100,2163000,15:24:40
21660,100,2166000,15:24:40
21670,200,4334000,15:24:39
21660,100,2166000,15:24:38
21630,300,6489000,15:24:37
21640,200,4328000,15:24:37
21660,100,2166000,15:24:37
21660,100,2166000,15:24:37
21680,100,2168000,15:24:36
21670,100,2167000,15:24:35
21650,100,2165000,15:24:35
21630,700,15141000,15:24:33
21640,200,4328000,15:24:33
21650,400,8660000,15:24:33
21660,200,4332000,15:24:33
21670,200,4334000,15:24:33
21670,300,6501000,15:24:31
21670,100,2167000,15:24:28
21680,400,8672000,15:24:28
21680,100,2168000,15:24:28
21690,100,2169000,15:24:27
21700,100,2170000,15:24:25
21680,100,2168000,15:24:24
21690,100,2169000,15:24:24
21700,100,2170000,15:24:24
21690,100,2169000,15:24:23
21720,100,2172000,15:24:23
21710,200,4342000,15:24:23
21710,200,4342000,15:24:23
21700,100,2170000,15:24:22
21730,100,2173000,15:24:21
21710,100,2171000,15:24:20
21700,100,2170000,15:24:20
21700,100,2170000,15:24:20
21710,300,6513000,15:24:20
21700,200,4340000,15:24:20
21670,100,2167000,15:24:19
21700,100,2170000,15:24:19
21670,100,2167000,15:24:18
21680,100,2168000,15:24:17
21680,100,2168000,15:24:17
21700,100,2170000,15:24:17
21690,100,2169000,15:24:17
