値段,株数,金額,時刻
5340,1984900,10599366000,15:30:00
5336,400,2134400,15:24:59
5339,100,533900,15:24:59
5336,100,533600,15:24:59
5336,100,533600,15:24:59
5337,200,1067400,15:24:59
5337,100,533700,15:24:59
5338,100,533800,15:24:59
5336,100,533600,15:24:59
5337,100,533700,15:24:59
5337,100,533700,15:24:59
5337,200,1067400,15:24:59
5337,100,533700,15:24:59
5339,100,533900,15:24:58
5339,500,2669500,15:24:58
5339,200,1067800,15:24:58
5340,200,1068000,15:24:57
5340,3500,18690000,15:24:57
5339,500,2669500,15:24:57
5339,300,1601700,15:24:57
5338,900,4804200,15:24:57
5336,100,533600,15:24:57
5338,100,533800,15:24:57
5336,100,533600,15:24:57
5336,100,533600,15:24:57
5338,100,533800,15:24:57
5335,1000,5335000,15:24:56
5336,800,4268800,15:24:56
5337,500,2668500,15:24:56
5339,100,533900,15:24:56
5339,100,533900,15:24:56
5337,100,533700,15:24:56
5339,100,533900,15:24:56
5339,100,533900,15:24:56
5337,100,533700,15:24:55
5340,200,1068000,15:24:55
5338,200,1067600,15:24:55
5339,300,1601700,15:24:55
5339,1400,7474600,15:24:55
5338,600,3202800,15:24:55
5337,200,1067400,15:24:55
5337,700,3735900,15:24:55
5335,300,1600500,15:24:55
5337,200,1067400,15:24:55
5335,700,3734500,15:24:55
5336,300,1600800,15:24:55
5335,100,533500,15:24:55
5336,200,1067200,15:24:55
5338,100,533800,15:24:55
5336,700,3735200,15:24:54
5337,600,3202200,15:24:54
5336,100,533600,15:24:54
5335,100,533500,15:24:54
5335,400,2134000,15:24:54
5335,100,533500,15:24:54
5336,300,1600800,15:24:54
5335,400,2134000,15:24:54
5336,200,1067200,15:24:54
5335,500,2667500,15:24:53
5337,900,4803300,15:24:53
5336,200,1067200,15:24:53
5334,300,1600200,15:24:53
5334,300,1600200,15:24:52
5336,100,533600,15:24:52
5336,300,1600800,15:24:52
5336,200,1067200,15:24:51
5338,100,533800,15:24:51
5337,200,1067400,15:24:51
5337,200,1067400,15:24:51
5338,200,1067600,15:24:51
5338,2000,10676000,15:24:51
5337,700,3735900,15:24:51
5338,100,533800,15:24:50
5339,100,533900,15:24:50
5337,100,533700,15:24:50
5338,100,533800,15:24:50
5338,100,533800,15:24:50
5338,100,533800,15:24:49
5338,100,533800,15:24:49
5339,400,2135600,15:24:49
5339,100,533900,15:24:49
5338,200,1067600,15:24:48
5337,1300,6938100,15:24:48
5337,100,533700,15:24:48
5337,200,1067400,15:24:47
5338,200,1067600,15:24:47
5337,200,1067400,15:24:47
5338,100,533800,15:24:46
5338,100,533800,15:24:46
5338,300,1601400,15:24:46
5337,400,2134800,15:24:46
5336,200,1067200,15:24:46
5335,400,2134000,15:24:46
5336,200,1067200,15:24:46
5336,100,533600,15:24:45
5334,100,533400,15:24:45
5336,300,1600800,15:24:45
5335,300,1600500,15:24:45
5335,200,1067000,15:24:45
5334,1300,6934200,15:24:45
5333,200,1066600,15:24:45
5333,200,1066600,15:24:45
5333,300,1599900,15:24:44
5332,100,533200,15:24:44
5332,100,533200,15:24:44
5331,100,533100,15:24:44
5332,100,533200,15:24:44
5331,300,1599300,15:24:43
5331,200,1066200,15:24:43
5332,100,533200,15:24:43
5332,300,1599600,15:24:42
5332,100,533200,15:24:41
5332,100,533200,15:24:41
5334,1100,5867400,15:24:40
5333,1200,6399600,15:24:40
5333,1000,5333000,15:24:40
5331,200,1066200,15:24:40
5331,400,2132400,15:24:40
5331,100,533100,15:24:39
5331,100,533100,15:24:38
5332,500,2666000,15:24:38
5330,200,1066000,15:24:37
5333,300,1599900,15:24:37
5332,300,1599600,15:24:37
5332,100,533200,15:24:37
5332,100,533200,15:24:37
5332,300,1599600,15:24:37
5332,600,3199200,15:24:37
5333,100,533300,15:24:37
5331,100,533100,15:24:36
5332,300,1599600,15:24:36
5332,1400,7464800,15:24:36
5332,100,533200,15:24:36
5332,100,533200,15:24:36
5333,200,1066600,15:24:35
5334,600,3200400,15:24:35
5334,200,1066800,15:24:35
5334,100,533400,15:24:35
5334,400,2133600,15:24:35
5334,100,533400,15:24:35
5335,500,2667500,15:24:35
5336,600,3201600,15:24:35
5337,100,533700,15:24:35
5337,500,2668500,15:24:35
5337,100,533700,15:24:35
5339,100,533900,15:24:34
5339,300,1601700,15:24:34
5338,2700,14412600,15:24:34
5337,1400,7471800,15:24:34
5336,400,2134400,15:24:34
5336,100,533600,15:24:34
5335,200,1067000,15:24:34
5336,100,533600,15:24:34
5336,100,533600,15:24:34
5334,100,533400,15:24:34
5336,100,533600,15:24:34
5336,300,1600800,15:24:34
5334,200,1066800,15:24:34
5335,1200,6402000,15:24:34
5335,3400,18139000,15:24:34
5334,100,533400,15:24:34
5335,300,1600500,15:24:34
5333,100,533300,15:24:33
5333,100,533300,15:24:33
5334,1000,5334000,15:24:32
5334,400,2133600,15:24:32
5334,200,1066800,15:24:32
5333,1000,5333000,15:24:32
5334,200,1066800,15:24:32
5333,100,533300,15:24:31
5334,1800,9601200,15:24:31
5332,200,1066400,15:24:31
5332,100,533200,15:24:31
5333,600,3199800,15:24:30
5333,5000,26665000,15:24:30
5331,100,533100,15:24:30
5331,300,1599300,15:24:30
5332,100,533200,15:24:30
5332,100,533200,15:24:30
5332,100,533200,15:24:30
5332,100,533200,15:24:30
5332,200,1066400,15:24:30
5332,400,2132800,15:24:30
5331,100,533100,15:24:30
5332,100,533200,15:24:30
5331,100,533100,15:24:30
5331,200,1066200,15:24:30
5329,200,1065800,15:24:30
5331,3200,17059200,15:24:30
5329,400,2131600,15:24:30
5330,500,2665000,15:24:30
5330,100,533000,15:24:30
5330,3500,18655000,15:24:30
5328,100,532800,15:24:29
5329,100,532900,15:24:29
5329,100,532900,15:24:29
5329,100,532900,15:24:29
5329,100,532900,15:24:29
5329,900,4796100,15:24:29
5328,200,1065600,15:24:29
5328,1300,6926400,15:24:29
5327,2400,12784800,15:24:29
5326,600,3195600,15:24:29
5325,900,4792500,15:24:28
5324,500,2662000,15:24:28
5326,100,532600,15:24:28
5325,100,532500,15:24:28
5326,100,532600,15:24:28
5326,100,532600,15:24:27
5325,4600,24495000,15:24:27
5324,4000,21296000,15:24:27
5323,400,2129200,15:24:27
5323,100,532300,15:24:27
5323,100,532300,15:24:27
5322,200,1064400,15:24:26
5323,100,532300,15:24:26
5323,100,532300,15:24:26
5323,200,1064600,15:24:26
5323,100,532300,15:24:26
5323,100,532300,15:24:26
5323,500,2661500,15:24:25
5324,100,532400,15:24:23
5322,100,532200,15:24:21
5324,200,1064800,15:24:20
5322,300,1596600,15:24:20
5321,500,2660500,15:24:20
5322,1600,8515200,15:24:20
5323,400,2129200,15:24:19
5323,100,532300,15:24:19
5323,100,532300,15:24:19
5324,100,532400,15:24:18
5322,100,532200,15:24:18
5322,200,1064400,15:24:18
5322,300,1596600,15:24:18
5323,100,532300,15:24:18
5323,500,2661500,15:24:16
5323,100,532300,15:24:16
5322,100,532200,15:24:16
5322,1300,6918600,15:24:16
5322,100,532200,15:24:15
5321,100,532100,15:24:14
5323,200,1064600,15:24:14
5322,100,532200,15:24:14
5321,100,532100,15:24:13
5322,100,532200,15:24:13
5322,100,532200,15:24:13
5322,100,532200,15:24:13
5322,100,532200,15:24:13
5323,100,532300,15:24:13
5322,200,1064400,15:24:13
5322,200,1064400,15:24:12
5323,100,532300,15:24:12
5324,100,532400,15:24:11
5324,100,532400,15:24:11
5322,200,1064400,15:24:10
5324,900,4791600,15:24:09
5322,500,2661000,15:24:09
5323,600,3193800,15:24:09
5323,100,532300,15:24:09
5323,500,2661500,15:24:09
5323,200,1064600,15:24:09
5322,300,1596600,15:24:09
5323,1700,9049100,15:24:09
5322,100,532200,15:24:08
5322,100,532200,15:24:08
5322,100,532200,15:24:08
5322,300,1596600,15:24:08
5322,300,1596600,15:24:08
5322,100,532200,15:24:08
5322,100,532200,15:24:08
5322,400,2128800,15:24:08
5322,100,532200,15:24:07
5322,200,1064400,15:24:07
5322,5500,29271000,15:24:07
5323,3600,19162800,15:24:07
5324,600,3194400,15:24:07
5324,100,532400,15:24:07
5325,100,532500,15:24:06
5324,100,532400,15:24:05
5324,100,532400,15:24:04
5324,100,532400,15:24:04
5324,100,532400,15:24:04
5325,100,532500,15:24:04
5324,100,532400,15:24:04
5325,100,532500,15:24:03
5324,100,532400,15:24:02
5325,100,532500,15:24:02
5325,100,532500,15:24:02
5326,300,1597800,15:24:01
5325,100,532500,15:24:01
5327,400,2130800,15:24:01
5326,400,2130400,15:24:01
5325,100,532500,15:24:00
5324,100,532400,15:24:00
5325,400,2130000,15:24:00
5326,600,3195600,15:24:00
5326,300,1597800,15:24:00
5325,200,1065000,15:23:59
5324,100,532400,15:23:59
5325,100,532500,15:23:58
5324,100,532400,15:23:58
5324,400,2129600,15:23:58
5324,200,1064800,15:23:56
5324,300,1597200,15:23:55
5325,200,1065000,15:23:55
5325,100,532500,15:23:54
5326,100,532600,15:23:54
5326,100,532600,15:23:53
5326,100,532600,15:23:53
5325,100,532500,15:23:52
5325,900,4792500,15:23:52
5325,100,532500,15:23:51
