値段,株数,金額,時刻
34640,160200,5549328000,15:30:00
34540,100,3454000,15:24:59
34580,100,3458000,15:24:55
34580,100,3458000,15:24:51
34550,100,3455000,15:24:50
34550,100,3455000,15:24:47
34560,300,10368000,15:24:47
34570,100,3457000,15:24:47
34570,100,3457000,15:24:47
34580,100,3458000,15:24:47
34580,100,3458000,15:24:47
34570,100,3457000,15:24:47
34570,200,6914000,15:24:47
34570,100,3457000,15:24:47
34570,300,10371000,15:24:47
34580,100,3458000,15:24:47
34570,200,6914000,15:24:45
34570,200,6914000,15:24:45
34570,100,3457000,15:24:45
34560,100,3456000,15:24:45
34630,200,6926000,15:24:45
34630,500,17315000,15:24:45
34620,500,17310000,15:24:45
34610,600,20766000,15:24:45
34600,700,24220000,15:24:45
34590,300,10377000,15:24:45
34580,600,20748000,15:24:45
34570,600,20742000,15:24:45
34560,400,13824000,15:24:45
34550,400,13820000,15:24:45
34540,500,17270000,15:24:45
34520,100,3452000,15:24:45
34530,100,3453000,15:24:42
34540,100,3454000,15:24:42
34530,300,10359000,15:24:38
34530,100,3453000,15:24:38
34540,100,3454000,15:24:37
34540,100,3454000,15:24:34
34520,100,3452000,15:24:33
34530,100,3453000,15:24:30
34520,100,3452000,15:24:30
34530,100,3453000,15:24:29
34540,500,17270000,15:24:29
34550,1500,51825000,15:24:29
34560,1100,38016000,15:24:29
34560,100,3456000,15:24:29
34570,1100,38027000,15:24:29
34570,100,3457000,15:24:28
34580,1700,58786000,15:24:27
34590,100,3459000,15:24:27
34590,1200,41508000,15:24:27
34590,100,3459000,15:24:27
34590,100,3459000,15:24:27
34590,100,3459000,15:24:26
34590,100,3459000,15:24:26
34590,100,3459000,15:24:26
34620,100,3462000,15:24:26
34590,100,3459000,15:24:26
34610,100,3461000,15:24:26
34600,2800,96880000,15:24:26
34610,100,3461000,15:24:26
34610,400,13844000,15:24:26
34610,1000,34610000,15:24:26
34620,700,24234000,15:24:26
34630,400,13852000,15:24:26
34630,100,3463000,15:24:18
34640,100,3464000,15:24:17
34630,100,3463000,15:24:14
34640,100,3464000,15:24:09
34650,100,3465000,15:24:07
34630,100,3463000,15:24:05
34640,100,3464000,15:24:04
34650,200,6930000,15:24:03
34650,100,3465000,15:24:02
34670,100,3467000,15:24:01
34650,100,3465000,15:24:00
34650,100,3465000,15:23:57
34660,300,10398000,15:23:57
34650,100,3465000,15:23:57
34650,300,10395000,15:23:56
34660,100,3466000,15:23:56
34650,400,13860000,15:23:55
34640,200,6928000,15:23:53
34640,100,3464000,15:23:53
34640,100,3464000,15:23:50
34630,100,3463000,15:23:43
34640,100,3464000,15:23:36
34640,100,3464000,15:23:36
34640,100,3464000,15:23:36
34640,300,10392000,15:23:34
34650,100,3465000,15:23:26
34650,100,3465000,15:23:26
34650,100,3465000,15:23:20
34650,100,3465000,15:23:18
34660,100,3466000,15:23:06
34670,200,6934000,15:22:55
34670,100,3467000,15:22:55
34680,600,20808000,15:22:55
34680,100,3468000,15:22:55
34680,100,3468000,15:22:41
34680,100,3468000,15:22:39
34700,100,3470000,15:22:32
34690,100,3469000,15:22:27
34680,100,3468000,15:22:22
34690,300,10407000,15:22:22
34700,1500,52050000,15:22:22
34700,100,3470000,15:22:04
34700,200,6940000,15:22:03
34700,400,13880000,15:22:03
34710,100,3471000,15:22:01
34710,100,3471000,15:22:01
34710,1100,38181000,15:22:01
34710,200,6942000,15:22:01
34710,600,20826000,15:22:01
34710,100,3471000,15:22:00
34710,100,3471000,15:21:56
34710,100,3471000,15:21:44
34710,100,3471000,15:21:44
34700,100,3470000,15:21:42
34700,100,3470000,15:21:39
34700,100,3470000,15:21:34
34700,100,3470000,15:21:34
34700,100,3470000,15:21:34
34700,100,3470000,15:21:34
34700,100,3470000,15:21:29
34700,100,3470000,15:21:29
34700,100,3470000,15:21:27
34700,100,3470000,15:21:26
34700,400,13880000,15:21:26
34700,100,3470000,15:21:26
34690,100,3469000,15:21:13
34690,200,6938000,15:21:13
34680,100,3468000,15:20:40
34680,300,10404000,15:20:39
34680,100,3468000,15:20:39
34670,100,3467000,15:20:38
34670,200,6934000,15:20:38
34670,800,27736000,15:20:38
34660,100,3466000,15:20:38
34660,600,20796000,15:20:38
34660,100,3466000,15:20:38
34660,100,3466000,15:20:36
34650,100,3465000,15:20:34
34650,100,3465000,15:20:31
34650,100,3465000,15:20:31
34650,100,3465000,15:20:27
34650,300,10395000,15:20:25
34650,400,13860000,15:20:06
34640,200,6928000,15:20:00
34650,100,3465000,15:19:59
34650,100,3465000,15:19:59
34650,300,10395000,15:19:59
34650,100,3465000,15:19:53
34650,100,3465000,15:19:51
34650,700,24255000,15:19:49
34650,100,3465000,15:19:49
34650,100,3465000,15:19:49
34650,100,3465000,15:19:49
34640,100,3464000,15:19:49
34640,100,3464000,15:19:40
34640,100,3464000,15:19:36
34630,100,3463000,15:19:34
34640,100,3464000,15:19:31
34640,400,13856000,15:19:31
34640,100,3464000,15:19:31
34640,100,3464000,15:19:22
34640,100,3464000,15:19:12
34640,100,3464000,15:19:08
34640,100,3464000,15:19:05
34640,300,10392000,15:19:04
34630,100,3463000,15:19:00
34630,100,3463000,15:18:59
34630,200,6926000,15:18:54
34620,200,6924000,15:18:54
34630,1200,41556000,15:18:54
34640,600,20784000,15:18:54
34650,100,3465000,15:18:48
34650,100,3465000,15:18:44
34650,100,3465000,15:18:43
34650,100,3465000,15:18:43
34650,100,3465000,15:18:43
34650,600,20790000,15:18:43
34660,100,3466000,15:18:23
34650,100,3465000,15:18:17
34660,300,10398000,15:17:59
34660,100,3466000,15:17:59
34660,100,3466000,15:17:59
34670,100,3467000,15:17:53
34670,100,3467000,15:17:41
34670,100,3467000,15:17:39
34670,100,3467000,15:17:39
34670,100,3467000,15:17:39
34660,100,3466000,15:17:37
34660,100,3466000,15:17:36
34660,100,3466000,15:17:36
34670,100,3467000,15:17:26
34660,100,3466000,15:17:24
34660,400,13864000,15:17:23
34660,100,3466000,15:17:23
34660,100,3466000,15:17:21
34660,100,3466000,15:17:20
34660,100,3466000,15:17:20
34650,100,3465000,15:17:20
34660,100,3466000,15:17:19
34660,500,17330000,15:17:19
34660,100,3466000,15:17:19
34670,300,10401000,15:17:07
34670,400,13868000,15:17:07
34670,200,6934000,15:17:07
34690,200,6938000,15:17:04
34680,300,10404000,15:17:04
34670,100,3467000,15:16:45
34670,100,3467000,15:16:44
34680,100,3468000,15:16:41
34680,100,3468000,15:16:40
34680,400,13872000,15:16:14
34680,100,3468000,15:16:14
34680,100,3468000,15:16:14
34690,100,3469000,15:16:13
34690,100,3469000,15:16:13
34690,700,24283000,15:16:13
34710,100,3471000,15:16:06
34700,100,3470000,15:16:06
34700,100,3470000,15:16:04
34700,100,3470000,15:16:03
34700,100,3470000,15:15:56
34700,600,20820000,15:15:56
34700,100,3470000,15:15:56
34700,100,3470000,15:15:56
34700,100,3470000,15:15:52
34690,100,3469000,15:15:37
34690,100,3469000,15:15:32
34690,100,3469000,15:15:28
34690,100,3469000,15:15:25
34690,100,3469000,15:15:18
34690,300,10407000,15:15:11
34680,100,3468000,15:15:00
34690,200,6938000,15:14:53
34680,100,3468000,15:14:53
34680,200,6936000,15:14:52
34690,300,10407000,15:14:41
34690,700,24283000,15:14:41
34700,200,6940000,15:14:38
34700,100,3470000,15:14:38
34700,300,10410000,15:14:29
34700,100,3470000,15:14:29
34700,300,10410000,15:14:24
34700,100,3470000,15:14:24
34710,100,3471000,15:14:16
34710,200,6942000,15:14:16
34710,200,6942000,15:14:16
34710,200,6942000,15:14:16
34710,200,6942000,15:14:16
34710,100,3471000,15:14:16
34720,100,3472000,15:14:11
34720,200,6944000,15:14:11
34730,300,10419000,15:14:07
34730,500,17365000,15:14:07
34720,100,3472000,15:14:04
34730,100,3473000,15:14:01
34720,100,3472000,15:14:01
34720,200,6944000,15:14:01
34720,100,3472000,15:13:54
34720,100,3472000,15:13:51
34720,100,3472000,15:13:51
34730,100,3473000,15:13:43
34720,100,3472000,15:13:34
34720,100,3472000,15:13:34
34720,100,3472000,15:13:31
34710,100,3471000,15:13:29
34720,100,3472000,15:13:25
34720,200,6944000,15:13:22
34720,200,6944000,15:13:21
34710,200,6942000,15:13:21
34710,300,10413000,15:13:21
34700,200,6940000,15:13:15
34700,200,6940000,15:13:14
34700,100,3470000,15:13:14
34700,300,10410000,15:13:14
34700,100,3470000,15:13:14
34710,100,3471000,15:12:55
34710,300,10413000,15:12:55
34710,200,6942000,15:12:55
34720,200,6944000,15:12:44
34720,100,3472000,15:12:39
34720,100,3472000,15:12:39
34710,200,6942000,15:12:33
34710,100,3471000,15:12:19
34720,100,3472000,15:12:18
34710,100,3471000,15:12:16
34720,100,3472000,15:12:13
34720,100,3472000,15:12:13
34720,100,3472000,15:12:13
34720,1100,38192000,15:12:13
34720,100,3472000,15:12:13
34720,300,10416000,15:12:13
34720,100,3472000,15:12:13
34720,300,10416000,15:12:13
34720,300,10416000,15:12:13
34730,100,3473000,15:12:10
34730,100,3473000,15:12:09
34730,100,3473000,15:12:08
34730,100,3473000,15:11:57
34730,200,6946000,15:11:54
34730,100,3473000,15:11:54
34720,200,6944000,15:11:48
34710,100,3471000,15:11:44
34700,100,3470000,15:11:40
34710,100,3471000,15:11:39
34710,200,6942000,15:11:39
34710,200,6942000,15:11:39
34710,100,3471000,15:11:38
34730,100,3473000,15:11:34
34730,100,3473000,15:11:34
34730,100,3473000,15:11:25
34730,200,6946000,15:11:20
34730,100,3473000,15:11:20
34730,400,13892000,15:11:20
34730,400,13892000,15:11:20
34730,300,10419000,15:11:20
34730,400,13892000,15:11:20
34720,100,3472000,15:11:16
34720,100,3472000,15:11:16
34720,100,3472000,15:11:15
34720,100,3472000,15:11:11
34720,200,6944000,15:11:07
34710,100,3471000,15:11:02
34720,100,3472000,15:11:01
34720,300,10416000,15:11:01
34720,400,13888000,15:11:01
34720,400,13888000,15:11:01
34730,100,3473000,15:10:56
34730,100,3473000,15:10:48
34730,500,17365000,15:10:45
34720,100,3472000,15:10:43
34720,100,3472000,15:10:36
34700,100,3470000,15:10:28
34700,500,17350000,15:10:28
34700,500,17350000,15:10:28
34710,600,20826000,15:10:28
34710,100,3471000,15:10:28
34710,1000,34710000,15:10:28
34720,300,10416000,15:10:27
34720,200,6944000,15:10:27
34720,300,10416000,15:10:27
34710,400,13884000,15:10:26
34710,100,3471000,15:10:19
34710,100,3471000,15:10:18
34710,100,3471000,15:10:18
34710,500,17355000,15:10:15
34700,300,10410000,15:10:13
34700,100,3470000,15:10:13
34700,200,6940000,15:10:13
34700,200,6940000,15:10:13
34690,100,3469000,15:10:09
34700,100,3470000,15:10:06
34690,500,17345000,15:10:06
34680,500,17340000,15:10:05
34670,100,3467000,15:10:01
34680,100,3468000,15:09:59
34670,100,3467000,15:09:57
34680,100,3468000,15:09:56
34670,100,3467000,15:09:47
34670,200,6934000,15:09:47
34670,1200,41604000,15:09:47
34660,100,3466000,15:09:39
34650,100,3465000,15:09:30
34660,100,3466000,15:09:30
34660,100,3466000,15:09:27
34660,100,3466000,15:09:26
34660,100,3466000,15:09:26
34660,100,3466000,15:09:25
34660,100,3466000,15:09:16
34660,100,3466000,15:09:13
34660,300,10398000,15:09:01
34660,300,10398000,15:09:01
34660,100,3466000,15:08:51
34670,100,3467000,15:08:47
34670,100,3467000,15:08:39
34670,300,10401000,15:08:39
34670,300,10401000,15:08:39
34670,300,10401000,15:08:39
34660,100,3466000,15:08:39
34660,100,3466000,15:08:35
34650,100,3465000,15:08:33
34650,100,3465000,15:08:25
34650,100,3465000,15:08:20
34650,100,3465000,15:08:20
34650,100,3465000,15:08:19
34650,200,6930000,15:08:12
34650,100,3465000,15:08:06
34650,100,3465000,15:08:02
34660,100,3466000,15:07:55
34650,600,20790000,15:07:54
34640,100,3464000,15:07:51
34640,100,3464000,15:07:51
34630,100,3463000,15:07:47
34630,100,3463000,15:07:45
34630,100,3463000,15:07:43
34630,200,6926000,15:07:43
34630,200,6926000,15:07:43
34630,200,6926000,15:07:43
34630,100,3463000,15:07:37
34640,100,3464000,15:07:34
34640,100,3464000,15:07:24
34640,100,3464000,15:07:24
34650,100,3465000,15:07:21
34650,300,10395000,15:07:21
34650,400,13860000,15:07:21
34660,400,13864000,15:07:17
34660,600,20796000,15:07:17
34670,100,3467000,15:07:01
34670,100,3467000,15:07:01
34670,100,3467000,15:07:00
34670,100,3467000,15:07:00
34660,100,3466000,15:07:00
34670,300,10401000,15:06:48
34670,700,24269000,15:06:48
34670,100,3467000,15:06:39
34660,100,3466000,15:06:39
34660,100,3466000,15:06:28
34670,100,3467000,15:06:25
34670,100,3467000,15:06:25
34670,100,3467000,15:06:25
34670,100,3467000,15:06:25
34670,1200,41604000,15:06:25
34660,100,3466000,15:06:24
34660,100,3466000,15:06:23
34660,100,3466000,15:06:16
34660,100,3466000,15:06:12
34670,100,3467000,15:06:10
34660,100,3466000,15:06:10
34660,200,6932000,15:06:08
34660,100,3466000,15:06:08
34660,300,10398000,15:06:08
34660,100,3466000,15:06:08
34670,200,6934000,15:05:53
34660,100,3466000,15:05:53
34660,200,6932000,15:05:53
34660,100,3466000,15:05:53
34660,700,24262000,15:05:44
34660,100,3466000,15:05:44
34660,100,3466000,15:05:44
34670,100,3467000,15:05:30
34670,100,3467000,15:05:23
34670,100,3467000,15:05:23
34680,100,3468000,15:05:22
34660,100,3466000,15:05:19
34670,200,6934000,15:05:19
34680,100,3468000,15:05:18
34680,100,3468000,15:05:18
34680,300,10404000,15:05:18
34690,500,17345000,15:05:13
34690,400,13876000,15:05:13
34700,200,6940000,15:05:02
34680,100,3468000,15:05:00
34700,100,3470000,15:04:59
