値段,株数,金額,時刻
3658,9527500,34851595000,15:30:00
3660,500,1830000,15:24:59
3660,800,2928000,15:24:59
3659,1400,5122600,15:24:59
3659,500,1829500,15:24:59
3659,5600,20490400,15:24:59
3658,300,1097400,15:24:59
3658,100,365800,15:24:58
3658,400,1463200,15:24:58
3659,100,365900,15:24:58
3659,100,365900,15:24:58
3658,800,2926400,15:24:57
3659,200,731800,15:24:57
3658,100,365800,15:24:57
3659,100,365900,15:24:56
3659,100,365900,15:24:56
3658,300,1097400,15:24:56
3659,400,1463600,15:24:56
3658,300,1097400,15:24:55
3658,200,731600,15:24:55
3659,100,365900,15:24:54
3658,700,2560600,15:24:54
3658,300,1097400,15:24:54
3659,100,365900,15:24:53
3659,100,365900,15:24:53
3659,300,1097700,15:24:53
3659,100,365900,15:24:53
3659,100,365900,15:24:53
3659,200,731800,15:24:53
3659,10000,36590000,15:24:52
3658,100,365800,15:24:52
3658,100,365800,15:24:52
3659,100,365900,15:24:52
3658,600,2194800,15:24:51
3659,200,731800,15:24:51
3658,100,365800,15:24:50
3658,100,365800,15:24:50
3659,200,731800,15:24:50
3659,100,365900,15:24:50
3659,100,365900,15:24:49
3659,3000,10977000,15:24:49
3659,1600,5854400,15:24:49
3660,100,366000,15:24:49
3659,200,731800,15:24:49
3659,100,365900,15:24:47
3660,300,1098000,15:24:47
3658,100,365800,15:24:47
3660,500,1830000,15:24:47
3659,2800,10245200,15:24:47
3659,2200,8049800,15:24:47
3659,1400,5122600,15:24:46
3658,100,365800,15:24:45
3659,300,1097700,15:24:42
3659,500,1829500,15:24:42
3659,1200,4390800,15:24:41
3658,1000,3658000,15:24:38
3658,3500,12803000,15:24:38
3657,100,365700,15:24:38
3658,100,365800,15:24:36
3657,200,731400,15:24:35
3658,2100,7681800,15:24:35
3658,100,365800,15:24:34
3659,200,731800,15:24:33
3658,500,1829000,15:24:32
3658,200,731600,15:24:32
3658,2000,7316000,15:24:31
3659,100,365900,15:24:30
3659,100,365900,15:24:30
3659,100,365900,15:24:30
3658,500,1829000,15:24:30
3658,200,731600,15:24:29
3660,100,366000,15:24:29
3660,100,366000,15:24:28
3660,200,732000,15:24:28
3658,300,1097400,15:24:28
3660,2000,7320000,15:24:28
3659,3000,10977000,15:24:28
3658,100,365800,15:24:28
3659,200,731800,15:24:28
3658,100,365800,15:24:28
3659,100,365900,15:24:28
3659,100,365900,15:24:28
3658,100,365800,15:24:28
3659,100,365900,15:24:28
3658,200,731600,15:24:27
3658,200,731600,15:24:26
3659,5000,18295000,15:24:26
3659,200,731800,15:24:26
3658,100,365800,15:24:26
3658,100,365800,15:24:25
3659,100,365900,15:24:23
3659,100,365900,15:24:23
3658,200,731600,15:24:22
3659,100,365900,15:24:22
3659,100,365900,15:24:22
3659,3500,12806500,15:24:22
3658,200,731600,15:24:21
3658,100,365800,15:24:20
3658,200,731600,15:24:19
3659,100,365900,15:24:19
3659,500,1829500,15:24:18
3659,100,365900,15:24:17
3658,100,365800,15:24:17
3658,100,365800,15:24:16
3658,400,1463200,15:24:15
3658,100,365800,15:24:13
3657,100,365700,15:24:12
3657,200,731400,15:24:12
3658,100,365800,15:24:12
3658,3600,13168800,15:24:12
3658,300,1097400,15:24:11
3657,6000,21942000,15:24:11
3658,2000,7316000,15:24:10
3658,200,731600,15:24:10
3657,100,365700,15:24:10
3657,200,731400,15:24:09
3658,100,365800,15:24:09
3658,500,1829000,15:24:09
3657,300,1097100,15:24:09
3658,200,731600,15:24:09
3658,5000,18290000,15:24:08
3656,100,365600,15:24:07
3657,1300,4754100,15:24:07
3657,400,1462800,15:24:07
3657,2400,8776800,15:24:07
3657,100,365700,15:24:06
3657,100,365700,15:24:06
3657,3600,13165200,15:24:06
3656,700,2559200,15:24:05
3657,800,2925600,15:24:05
3656,100,365600,15:24:05
3657,100,365700,15:24:04
3657,300,1097100,15:24:03
3657,600,2194200,15:24:03
3656,1300,4752800,15:24:03
3657,100,365700,15:24:03
3657,1000,3657000,15:24:03
3657,9800,35838600,15:24:03
3658,2400,8779200,15:24:03
3659,100,365900,15:24:03
3659,100,365900,15:24:02
3659,1200,4390800,15:24:02
3657,1100,4022700,15:24:02
3659,400,1463600,15:24:02
3658,7900,28898200,15:24:02
3659,100,365900,15:24:02
3659,800,2927200,15:24:02
3659,100,365900,15:24:01
3659,800,2927200,15:24:01
3658,100,365800,15:24:01
3658,1000,3658000,15:24:01
3658,3800,13900400,15:24:01
3658,400,1463200,15:24:01
3658,10800,39506400,15:24:01
3658,8300,30361400,15:24:01
3658,6700,24508600,15:24:01
3658,100,365800,15:24:01
3658,800,2926400,15:24:01
3659,100,365900,15:24:01
3658,600,2194800,15:24:01
3659,400,1463600,15:24:01
3659,400,1463600,15:24:00
3657,100,365700,15:24:00
3659,700,2561300,15:24:00
3659,1300,4756700,15:24:00
3658,900,3292200,15:24:00
3658,5400,19753200,15:24:00
3659,200,731800,15:24:00
3658,1000,3658000,15:24:00
3658,5600,20484800,15:24:00
3659,900,3293100,15:24:00
3659,300,1097700,15:24:00
3659,100,365900,15:24:00
3658,100,365800,15:24:00
3658,3900,14266200,15:24:00
3658,200,731600,15:24:00
3659,100,365900,15:23:59
3659,100,365900,15:23:59
3659,3000,10977000,15:23:59
3659,400,1463600,15:23:59
3658,100,365800,15:23:58
3659,100,365900,15:23:58
3659,900,3293100,15:23:58
3658,500,1829000,15:23:58
3658,6800,24874400,15:23:58
3658,10700,39140600,15:23:58
3658,900,3292200,15:23:58
3658,200,731600,15:23:58
3658,900,3292200,15:23:58
3657,900,3291300,15:23:58
3657,800,2925600,15:23:58
3657,200,731400,15:23:58
3657,600,2194200,15:23:57
3656,600,2193600,15:23:57
3656,4900,17914400,15:23:57
3656,5100,18645600,15:23:57
3656,100,365600,15:23:56
3656,100,365600,15:23:56
3657,3300,12068100,15:23:55
3656,100,365600,15:23:55
3657,800,2925600,15:23:53
3656,200,731200,15:23:53
3656,100,365600,15:23:53
3657,1400,5119800,15:23:53
3657,400,1462800,15:23:53
3657,100,365700,15:23:52
3657,4400,16090800,15:23:52
3657,5000,18285000,15:23:52
3657,100,365700,15:23:52
3657,100,365700,15:23:52
3656,1100,4021600,15:23:52
3657,2000,7314000,15:23:52
3656,100,365600,15:23:51
3656,100,365600,15:23:51
3657,100,365700,15:23:50
3656,100,365600,15:23:50
3656,600,2193600,15:23:50
3656,100,365600,15:23:50
3656,100,365600,15:23:49
3656,300,1096800,15:23:49
3656,100,365600,15:23:49
3656,400,1462400,15:23:48
3656,400,1462400,15:23:48
3656,400,1462400,15:23:48
3656,100,365600,15:23:47
3657,100,365700,15:23:47
3656,1000,3656000,15:23:47
3657,100,365700,15:23:46
3656,100,365600,15:23:45
3656,100,365600,15:23:45
3656,400,1462400,15:23:45
3656,100,365600,15:23:44
3656,100,365600,15:23:44
3656,100,365600,15:23:43
3656,1300,4752800,15:23:43
3656,100,365600,15:23:42
3656,100,365600,15:23:40
3656,100,365600,15:23:39
3657,400,1462800,15:23:38
3656,100,365600,15:23:37
3657,400,1462800,15:23:37
3657,400,1462800,15:23:37
3657,3600,13165200,15:23:37
3657,900,3291300,15:23:37
3657,900,3291300,15:23:37
3657,100,365700,15:23:36
3658,100,365800,15:23:36
3658,1400,5121200,15:23:36
3657,1000,3657000,15:23:35
3658,100,365800,15:23:35
3658,300,1097400,15:23:34
3658,400,1463200,15:23:34
3657,100,365700,15:23:33
3657,500,1828500,15:23:33
3657,1000,3657000,15:23:33
3657,400,1462800,15:23:33
3657,100,365700,15:23:33
3658,100,365800,15:23:33
3657,600,2194200,15:23:29
3657,100,365700,15:23:29
3658,100,365800,15:23:28
3657,100,365700,15:23:28
3657,100,365700,15:23:27
3658,100,365800,15:23:27
3658,3400,12437200,15:23:26
3657,100,365700,15:23:23
3658,100,365800,15:23:22
3658,100,365800,15:23:22
3658,100,365800,15:23:20
3657,300,1097100,15:23:18
3657,100,365700,15:23:17
3657,100,365700,15:23:15
3657,100,365700,15:23:15
3657,100,365700,15:23:14
3657,100,365700,15:23:14
3658,100,365800,15:23:14
3657,100,365700,15:23:14
3658,100,365800,15:23:13
3658,100,365800,15:23:12
3657,100,365700,15:23:12
3657,1700,6216900,15:23:12
3658,100,365800,15:23:11
3657,100,365700,15:23:11
3657,100,365700,15:23:11
3657,1200,4388400,15:23:10
3657,100,365700,15:23:10
3657,100,365700,15:23:09
3657,100,365700,15:23:09
3658,100,365800,15:23:08
3657,100,365700,15:23:07
3658,100,365800,15:23:07
3658,100,365800,15:23:07
3657,100,365700,15:23:07
3657,100,365700,15:23:07
3657,100,365700,15:23:07
3657,100,365700,15:23:05
3657,100,365700,15:23:02
3657,100,365700,15:23:01
3657,100,365700,15:23:00
3657,100,365700,15:23:00
3658,100,365800,15:23:00
3657,100,365700,15:22:58
3657,100,365700,15:22:58
3657,100,365700,15:22:57
3657,100,365700,15:22:56
3659,100,365900,15:22:54
3659,100,365900,15:22:54
3658,1100,4023800,15:22:53
3658,1800,6584400,15:22:53
3658,600,2194800,15:22:52
3658,500,1829000,15:22:50
3658,300,1097400,15:22:50
3658,100,365800,15:22:50
3659,100,365900,15:22:49
3659,200,731800,15:22:49
3658,5000,18290000,15:22:48
3658,100,365800,15:22:47
3659,100,365900,15:22:43
3658,1000,3658000,15:22:43
3659,100,365900,15:22:42
3658,100,365800,15:22:42
3659,500,1829500,15:22:40
3658,100,365800,15:22:37
3658,100,365800,15:22:34
3659,100,365900,15:22:33
3659,1700,6220300,15:22:33
3659,100,365900,15:22:32
3659,100,365900,15:22:31
3658,1500,5487000,15:22:31
3658,100,365800,15:22:31
3659,100,365900,15:22:31
3658,1000,3658000,15:22:31
3658,100,365800,15:22:31
3658,100,365800,15:22:30
3659,400,1463600,15:22:27
3658,100,365800,15:22:26
3659,100,365900,15:22:25
3659,500,1829500,15:22:24
3659,600,2195400,15:22:21
3659,700,2561300,15:22:19
3659,1100,4024900,15:22:18
3658,100,365800,15:22:18
3658,2900,10608200,15:22:18
3658,2400,8779200,15:22:18
3658,16000,58528000,15:22:18
3658,500,1829000,15:22:18
3658,100,365800,15:22:18
3658,400,1463200,15:22:18
3657,100,365700,15:22:16
3657,100,365700,15:22:16
3658,200,731600,15:22:15
3658,100,365800,15:22:14
3658,100,365800,15:22:14
3658,900,3292200,15:22:13
3657,200,731400,15:22:11
3658,100,365800,15:22:09
3658,200,731600,15:22:09
3657,100,365700,15:22:08
3658,400,1463200,15:22:07
3658,100,365800,15:22:06
3658,2400,8779200,15:22:06
3657,100,365700,15:22:06
3658,200,731600,15:22:01
3658,200,731600,15:22:01
3657,4000,14628000,15:22:01
3657,2500,9142500,15:22:01
3657,200,731400,15:22:00
3658,100,365800,15:22:00
3658,700,2560600,15:21:59
3657,200,731400,15:21:59
3658,400,1463200,15:21:59
3657,200,731400,15:21:59
3657,500,1828500,15:21:59
3657,700,2559900,15:21:59
3657,13000,47541000,15:21:59
3657,100,365700,15:21:59
3656,300,1096800,15:21:58
3656,300,1096800,15:21:57
3657,400,1462800,15:21:56
3657,3300,12068100,15:21:56
3657,300,1097100,15:21:56
3657,3900,14262300,15:21:56
3656,100,365600,15:21:56
3656,100,365600,15:21:52
3656,100,365600,15:21:50
3657,100,365700,15:21:50
3656,2000,7312000,15:21:50
3656,100,365600,15:21:50
3657,100,365700,15:21:49
3656,2000,7312000,15:21:49
3657,200,731400,15:21:47
3656,200,731200,15:21:47
3656,300,1096800,15:21:45
3656,1000,3656000,15:21:45
3656,500,1828000,15:21:45
3656,200,731200,15:21:45
3656,500,1828000,15:21:45
3657,200,731400,15:21:44
3655,3300,12061500,15:21:44
3656,600,2193600,15:21:44
3656,100,365600,15:21:44
3656,100,365600,15:21:44
3656,100,365600,15:21:43
3656,100,365600,15:21:43
3656,200,731200,15:21:43
3655,300,1096500,15:21:41
3656,700,2559200,15:21:41
3657,100,365700,15:21:41
3656,100,365600,15:21:41
3656,100,365600,15:21:39
3657,500,1828500,15:21:38
3657,400,1462800,15:21:38
3656,10800,39484800,15:21:38
3656,3000,10968000,15:21:37
3655,100,365500,15:21:35
3656,500,1828000,15:21:34
3656,1000,3656000,15:21:34
3656,2100,7677600,15:21:34
3656,100,365600,15:21:33
3656,600,2193600,15:21:33
3656,100,365600,15:21:33
3656,100,365600,15:21:33
3657,500,1828500,15:21:24
3656,9000,32904000,15:21:24
3655,500,1827500,15:21:22
3656,100,365600,15:21:20
3655,100,365500,15:21:20
3656,100,365600,15:21:13
3655,100,365500,15:21:12
3657,100,365700,15:21:12
3656,100,365600,15:21:12
3656,100,365600,15:21:12
3657,100,365700,15:21:11
3657,100,365700,15:21:11
3656,100,365600,15:21:10
3656,2100,7677600,15:21:10
3657,700,2559900,15:21:10
3657,100,365700,15:21:10
3656,500,1828000,15:21:10
3656,600,2193600,15:21:10
3656,1000,3656000,15:21:10
3657,100,365700,15:21:07
3655,600,2193000,15:21:07
3656,500,1828000,15:21:07
3656,100,365600,15:21:06
3656,900,3290400,15:21:06
3657,200,731400,15:21:04
3657,100,365700,15:21:02
3657,100,365700,15:21:02
3657,2900,10605300,15:21:01
3656,100,365600,15:21:01
3656,100,365600,15:20:59
3657,700,2559900,15:20:59
3655,5700,20833500,15:20:59
3656,8300,30344800,15:20:59
3657,100,365700,15:20:59
3657,400,1462800,15:20:59
3656,6300,23032800,15:20:59
3657,1700,6216900,15:20:59
3656,100,365600,15:20:58
3657,100,365700,15:20:57
3657,200,731400,15:20:57
3656,1500,5484000,15:20:57
3656,800,2924800,15:20:57
3656,400,1462400,15:20:57
3656,4000,14624000,15:20:57
3657,400,1462800,15:20:57
3656,7000,25592000,15:20:57
3657,100,365700,15:20:57
3657,300,1097100,15:20:57
3657,900,3291300,15:20:57
3656,100,365600,15:20:57
3656,600,2193600,15:20:57
3656,600,2193600,15:20:57
3656,700,2559200,15:20:57
3656,600,2193600,15:20:57
3656,700,2559200,15:20:57
3656,3400,12430400,15:20:57
3656,17300,63248800,15:20:57
3656,100,365600,15:20:54
3656,2500,9140000,15:20:54
3656,100,365600,15:20:54
3655,3000,10965000,15:20:53
3656,100,365600,15:20:53
3656,2400,8774400,15:20:53
3656,100,365600,15:20:51
3655,500,1827500,15:20:44
3655,200,731000,15:20:43
3656,100,365600,15:20:42
3655,1000,3655000,15:20:40
3655,100,365500,15:20:38
3655,300,1096500,15:20:38
3655,100,365500,15:20:37
3655,100,365500,15:20:37
3655,100,365500,15:20:36
3655,100,365500,15:20:36
3655,500,1827500,15:20:30
3656,100,365600,15:20:29
3656,100,365600,15:20:29
3655,400,1462000,15:20:29
3655,100,365500,15:20:28
3656,100,365600,15:20:28
3656,100,365600,15:20:27
3655,100,365500,15:20:27
3655,100,365500,15:20:25
