値段,株数,金額,時刻
8993,4235600,38090750800,15:30:00
9049,200,1809800,15:24:59
9050,1300,11765000,15:24:59
9050,300,2715000,15:24:59
9050,200,1810000,15:24:59
9051,200,1810200,15:24:59
9050,100,905000,15:24:59
9053,100,905300,15:24:58
9050,100,905000,15:24:58
9053,100,905300,15:24:57
9050,100,905000,15:24:57
9054,100,905400,15:24:57
9051,300,2715300,15:24:57
9052,100,905200,15:24:57
9053,100,905300,15:24:57
9050,1000,9050000,15:24:55
9051,500,4525500,15:24:55
9052,400,3620800,15:24:55
9054,100,905400,15:24:55
9055,100,905500,15:24:55
9052,200,1810400,15:24:55
9056,600,5433600,15:24:55
9055,800,7244000,15:24:55
9054,700,6337800,15:24:55
9053,500,4526500,15:24:55
9052,400,3620800,15:24:55
9052,300,2715600,15:24:53
9051,100,905100,15:24:53
9051,100,905100,15:24:53
9049,100,904900,15:24:52
9051,100,905100,15:24:51
9049,100,904900,15:24:50
9051,300,2715300,15:24:49
9050,100,905000,15:24:49
9050,100,905000,15:24:48
9049,100,904900,15:24:48
9052,100,905200,15:24:48
9052,400,3620800,15:24:48
9052,400,3620800,15:24:48
9051,400,3620400,15:24:47
9050,400,3620000,15:24:47
9049,100,904900,15:24:47
9048,100,904800,15:24:46
9049,100,904900,15:24:46
9049,100,904900,15:24:45
9050,200,1810000,15:24:45
9050,500,4525000,15:24:45
9050,100,905000,15:24:42
9050,500,4525000,15:24:42
9051,200,1810200,15:24:42
9052,400,3620800,15:24:42
9051,100,905100,15:24:42
9050,100,905000,15:24:41
9051,200,1810200,15:24:39
9054,100,905400,15:24:39
9053,400,3621200,15:24:39
9052,300,2715600,15:24:39
9052,100,905200,15:24:39
9052,300,2715600,15:24:39
9051,100,905100,15:24:39
9049,200,1809800,15:24:38
9050,100,905000,15:24:38
9051,400,3620400,15:24:38
9051,100,905100,15:24:38
9052,500,4526000,15:24:38
9052,100,905200,15:24:38
9052,400,3620800,15:24:37
9051,100,905100,15:24:37
9050,500,4525000,15:24:36
9050,100,905000,15:24:36
9050,200,1810000,15:24:34
9050,200,1810000,15:24:34
9050,500,4525000,15:24:34
9049,200,1809800,15:24:34
9048,1500,13572000,15:24:33
9048,200,1809600,15:24:33
9048,200,1809600,15:24:30
9048,200,1809600,15:24:30
9048,200,1809600,15:24:30
9049,500,4524500,15:24:30
9051,600,5430600,15:24:30
9051,500,4525500,15:24:30
9050,300,2715000,15:24:30
9049,200,1809800,15:24:30
9048,200,1809600,15:24:30
9048,100,904800,15:24:30
9046,100,904600,15:24:30
9047,100,904700,15:24:30
9046,300,2713800,15:24:30
9046,100,904600,15:24:30
9046,300,2713800,15:24:30
9047,400,3618800,15:24:30
9048,200,1809600,15:24:29
9048,200,1809600,15:24:29
9049,100,904900,15:24:28
9049,600,5429400,15:24:28
9048,200,1809600,15:24:27
9048,100,904800,15:24:27
9050,500,4525000,15:24:27
9049,200,1809800,15:24:27
9048,200,1809600,15:24:27
9047,100,904700,15:24:27
9046,200,1809200,15:24:26
9044,100,904400,15:24:26
9044,400,3617600,15:24:26
9045,3800,34371000,15:24:26
9046,1100,9950600,15:24:26
9047,400,3618800,15:24:26
9048,600,5428800,15:24:26
9048,100,904800,15:24:26
9049,100,904900,15:24:26
9049,100,904900,15:24:24
9050,100,905000,15:24:24
9049,100,904900,15:24:24
9049,200,1809800,15:24:23
9048,800,7238400,15:24:22
9050,200,1810000,15:24:22
9050,1400,12670000,15:24:22
9051,400,3620400,15:24:22
9052,500,4526000,15:24:19
9052,100,905200,15:24:19
9052,100,905200,15:24:18
9052,200,1810400,15:24:17
9052,700,6336400,15:24:17
9052,300,2715600,15:24:17
9053,100,905300,15:24:16
9053,700,6337100,15:24:16
9054,100,905400,15:24:16
9054,100,905400,15:24:11
9054,100,905400,15:24:11
9053,100,905300,15:24:11
9051,200,1810200,15:24:09
9049,100,904900,15:24:06
9051,100,905100,15:24:05
9050,100,905000,15:24:05
9050,100,905000,15:24:05
9049,400,3619600,15:24:05
9049,100,904900,15:24:05
9051,100,905100,15:24:05
9051,300,2715300,15:24:05
9050,100,905000,15:24:04
9051,100,905100,15:24:04
9050,100,905000,15:24:03
9051,100,905100,15:24:03
9051,300,2715300,15:24:03
9052,600,5431200,15:24:03
9054,200,1810800,15:24:03
9055,2400,21732000,15:24:03
9054,700,6337800,15:24:03
9053,200,1810600,15:24:03
9052,100,905200,15:24:03
9052,100,905200,15:24:03
9053,100,905300,15:24:03
9052,400,3620800,15:24:02
9051,100,905100,15:24:02
9050,100,905000,15:24:02
9050,700,6335000,15:24:01
9049,800,7239200,15:24:01
9048,300,2714400,15:24:01
9047,100,904700,15:24:01
9048,200,1809600,15:24:01
9048,100,904800,15:24:01
9047,200,1809400,15:24:01
9047,100,904700,15:24:01
9047,100,904700,15:24:01
9046,100,904600,15:24:01
9048,100,904800,15:24:01
9049,100,904900,15:24:01
9049,100,904900,15:24:01
9045,600,5427000,15:24:00
9046,100,904600,15:24:00
9047,200,1809400,15:24:00
9048,300,2714400,15:24:00
9050,100,905000,15:24:00
9050,100,905000,15:24:00
9046,1500,13569000,15:24:00
9047,900,8142300,15:24:00
9048,500,4524000,15:24:00
9049,600,5429400,15:24:00
9050,400,3620000,15:24:00
9053,100,905300,15:24:00
9051,100,905100,15:24:00
9048,100,904800,15:24:00
9051,100,905100,15:24:00
9053,1300,11768900,15:24:00
9052,1100,9957200,15:24:00
