値段,株数,金額,時刻
2103,2343900,4929221700,15:30:00
2111.5,100,211150,15:24:58
2112.5,800,1690000,15:24:57
2112.5,200,422500,15:24:55
2113.5,200,422700,15:24:55
2113,100,211300,15:24:55
2113,900,1901700,15:24:55
2113,100,211300,15:24:54
2113.5,100,211350,15:24:54
2113.5,100,211350,15:24:52
2113.5,100,211350,15:24:52
2114,500,1057000,15:24:50
2114,100,211400,15:24:50
2114,100,211400,15:24:50
2114,100,211400,15:24:50
2114.5,100,211450,15:24:48
2114,700,1479800,15:24:48
2114,100,211400,15:24:47
2113.5,100,211350,15:24:43
2113,300,633900,15:24:42
2112.5,500,1056250,15:24:40
2112.5,600,1267500,15:24:40
2112.5,1300,2746250,15:24:40
2112.5,100,211250,15:24:40
2113,400,845200,15:24:32
2112.5,1100,2323750,15:24:32
2112,200,422400,15:24:32
2112,300,633600,15:24:32
2111.5,1300,2744950,15:24:30
2111.5,100,211150,15:24:29
2111.5,700,1478050,15:24:29
2111.5,100,211150,15:24:29
2111,200,422200,15:24:28
2111,100,211100,15:24:27
2111,100,211100,15:24:26
2111,100,211100,15:24:26
2111,100,211100,15:24:26
2111,100,211100,15:24:26
2111,100,211100,15:24:26
2111.5,100,211150,15:24:21
2110.5,100,211050,15:24:21
2110.5,300,633150,15:24:20
2111,1700,3588700,15:24:20
2111.5,400,844600,15:24:20
2111.5,1600,3378400,15:24:20
2111.5,600,1266900,15:24:17
2111,500,1055500,15:24:13
2112,100,211200,15:24:12
2111.5,1400,2956100,15:24:12
2111,200,422200,15:24:10
2111,300,633300,15:24:10
2111,100,211100,15:24:10
2111,100,211100,15:24:10
2111.5,500,1055750,15:24:09
2111,100,211100,15:24:09
2111.5,1200,2533800,15:24:09
2111.5,400,844600,15:24:09
2111.5,100,211150,15:24:09
2111.5,100,211150,15:24:08
2112,10100,21331200,15:24:08
2112.5,1400,2957500,15:24:08
2112.5,100,211250,15:24:07
2113,400,845200,15:24:05
2113,800,1690400,15:24:05
2113.5,100,211350,15:24:05
2113.5,100,211350,15:24:05
2113,100,211300,15:24:03
2113.5,100,211350,15:24:03
2114,100,211400,15:24:02
2114,200,422800,15:24:02
2113,100,211300,15:24:02
2114,300,634200,15:24:01
2114,100,211400,15:24:01
2114,900,1902600,15:24:00
2113.5,100,211350,15:24:00
2114,200,422800,15:24:00
2113.5,600,1268100,15:24:00
2114,100,211400,15:23:59
2113,100,211300,15:23:58
2113,800,1690400,15:23:58
2113.5,200,422700,15:23:50
2113.5,800,1690800,15:23:48
2113.5,100,211350,15:23:47
2113,100,211300,15:23:47
2113,100,211300,15:23:47
2112.5,2000,4225000,15:23:47
2113,100,211300,15:23:45
2113,100,211300,15:23:45
2113,100,211300,15:23:45
2113,200,422600,15:23:44
2113.5,100,211350,15:23:42
2113.5,200,422700,15:23:42
2113,3000,6339000,15:23:41
2113,100,211300,15:23:40
2112.5,100,211250,15:23:40
2112.5,100,211250,15:23:39
2112.5,100,211250,15:23:39
2112.5,100,211250,15:23:39
2112.5,500,1056250,15:23:38
2113,600,1267800,15:23:37
2113,200,422600,15:23:37
2112,100,211200,15:23:37
2112.5,100,211250,15:23:36
2112.5,100,211250,15:23:36
2112.5,500,1056250,15:23:34
2112.5,100,211250,15:23:33
2113,100,211300,15:23:32
2113,100,211300,15:23:32
2113,100,211300,15:23:29
2112.5,300,633750,15:23:28
2112.5,300,633750,15:23:28
2112.5,100,211250,15:23:27
2112,100,211200,15:23:27
2112.5,1400,2957500,15:23:27
2113,100,211300,15:23:23
2112.5,200,422500,15:23:21
2113,100,211300,15:23:21
2113,600,1267800,15:23:18
2112.5,300,633750,15:23:17
2112.5,1600,3380000,15:23:17
2113,100,211300,15:23:16
2112.5,100,211250,15:23:15
2113,1400,2958200,15:23:14
2113,200,422600,15:23:14
2113.5,300,634050,15:23:12
2113.5,100,211350,15:23:12
2113.5,100,211350,15:23:11
2113,100,211300,15:23:11
2112.5,200,422500,15:23:11
2112.5,100,211250,15:23:09
2112.5,100,211250,15:23:07
2113.5,200,422700,15:23:06
2113,100,211300,15:23:04
2113,200,422600,15:23:04
2113,300,633900,15:23:04
2113.5,1100,2324850,15:23:04
2113,700,1479100,15:23:04
2112.5,200,422500,15:23:03
2113,100,211300,15:23:02
2113,100,211300,15:23:02
2113,100,211300,15:22:59
2112.5,200,422500,15:22:59
2112.5,1200,2535000,15:22:56
2113,100,211300,15:22:54
2112.5,200,422500,15:22:51
2113,500,1056500,15:22:51
2113,100,211300,15:22:48
2113,100,211300,15:22:48
2112.5,800,1690000,15:22:47
2113,100,211300,15:22:46
2113,800,1690400,15:22:46
2113,1400,2958200,15:22:46
2113.5,500,1056750,15:22:46
2113.5,100,211350,15:22:46
2113,900,1901700,15:22:46
2113,100,211300,15:22:44
2112.5,1100,2323750,15:22:40
2112.5,100,211250,15:22:37
2113,200,422600,15:22:37
2113,200,422600,15:22:37
2113,1300,2746900,15:22:37
2113.5,100,211350,15:22:36
2113.5,100,211350,15:22:35
2113.5,100,211350,15:22:32
2113,200,422600,15:22:30
2113,100,211300,15:22:30
2113,100,211300,15:22:30
2113.5,400,845400,15:22:29
