値段,株数,金額,時刻
3903,4517400,17631412200,15:30:00
3895,1500,5842500,15:24:59
3896,2300,8960800,15:24:59
3897,1200,4676400,15:24:59
3899,100,389900,15:24:59
3897,100,389700,15:24:59
3897,100,389700,15:24:59
3897,100,389700,15:24:59
3898,200,779600,15:24:58
3897,100,389700,15:24:58
3897,100,389700,15:24:57
3897,100,389700,15:24:57
3899,100,389900,15:24:57
3899,200,779800,15:24:56
3898,100,389800,15:24:56
3897,100,389700,15:24:56
3897,200,779400,15:24:56
3899,100,389900,15:24:56
3897,100,389700,15:24:55
3899,100,389900,15:24:55
3899,300,1169700,15:24:55
3898,200,779600,15:24:55
3898,100,389800,15:24:55
3897,100,389700,15:24:55
3897,100,389700,15:24:54
3897,100,389700,15:24:54
3896,300,1168800,15:24:54
3898,300,1169400,15:24:54
3896,200,779200,15:24:53
3896,600,2337600,15:24:53
3897,100,389700,15:24:53
3896,900,3506400,15:24:53
3897,300,1169100,15:24:53
3898,1500,5847000,15:24:52
3896,400,1558400,15:24:52
3896,100,389600,15:24:52
3896,100,389600,15:24:52
3896,1200,4675200,15:24:52
3897,600,2338200,15:24:52
3897,200,779400,15:24:51
3898,100,389800,15:24:51
3898,200,779600,15:24:51
3898,200,779600,15:24:51
3898,100,389800,15:24:51
3898,100,389800,15:24:51
3898,100,389800,15:24:51
3900,300,1170000,15:24:51
3898,1000,3898000,15:24:51
3901,100,390100,15:24:51
3901,100,390100,15:24:51
3901,100,390100,15:24:51
3901,200,780200,15:24:51
3900,3300,12870000,15:24:51
3899,800,3119200,15:24:51
3899,100,389900,15:24:51
3898,5000,19490000,15:24:51
3898,400,1559200,15:24:51
3897,400,1558800,15:24:51
3897,1100,4286700,15:24:51
3896,100,389600,15:24:50
3896,300,1168800,15:24:49
3896,100,389600,15:24:49
3895,100,389500,15:24:49
3895,100,389500,15:24:49
3895,500,1947500,15:24:48
3894,100,389400,15:24:47
3895,600,2337000,15:24:46
3894,300,1168200,15:24:46
3895,300,1168500,15:24:45
3895,100,389500,15:24:45
3893,1500,5839500,15:24:45
3895,300,1168500,15:24:45
3893,100,389300,15:24:45
3893,400,1557200,15:24:44
3895,400,1558000,15:24:44
3893,100,389300,15:24:44
3895,200,779000,15:24:44
3894,1300,5062200,15:24:43
3895,100,389500,15:24:43
3894,100,389400,15:24:43
3895,100,389500,15:24:43
3894,100,389400,15:24:43
3895,500,1947500,15:24:42
3894,100,389400,15:24:42
3894,200,778800,15:24:41
3894,100,389400,15:24:41
3895,600,2337000,15:24:41
3895,100,389500,15:24:41
3895,300,1168500,15:24:40
3896,100,389600,15:24:40
3895,100,389500,15:24:40
3895,800,3116000,15:24:40
3896,1000,3896000,15:24:40
3897,100,389700,15:24:39
3896,100,389600,15:24:39
3895,200,779000,15:24:37
3897,100,389700,15:24:37
3895,300,1168500,15:24:36
3896,200,779200,15:24:36
3895,100,389500,15:24:36
3895,100,389500,15:24:36
3896,100,389600,15:24:36
3895,100,389500,15:24:35
3896,600,2337600,15:24:35
3897,100,389700,15:24:34
3897,100,389700,15:24:34
3895,100,389500,15:24:34
3896,100,389600,15:24:34
3896,100,389600,15:24:34
3895,100,389500,15:24:34
3895,100,389500,15:24:33
3896,100,389600,15:24:33
3896,100,389600,15:24:33
3895,100,389500,15:24:33
3896,100,389600,15:24:33
3896,200,779200,15:24:33
3895,500,1947500,15:24:32
3895,100,389500,15:24:32
3896,100,389600,15:24:32
3895,200,779000,15:24:32
3896,100,389600,15:24:31
3896,200,779200,15:24:31
3894,200,778800,15:24:31
3895,700,2726500,15:24:30
3896,100,389600,15:24:30
3896,100,389600,15:24:30
3895,300,1168500,15:24:30
3895,100,389500,15:24:30
3894,100,389400,15:24:30
3894,200,778800,15:24:29
3895,100,389500,15:24:29
3896,100,389600,15:24:29
3896,100,389600,15:24:29
3895,100,389500,15:24:29
3894,700,2725800,15:24:29
3896,2600,10129600,15:24:29
3895,600,2337000,15:24:29
3894,100,389400,15:24:29
3895,100,389500,15:24:29
3894,100,389400,15:24:29
3894,700,2725800,15:24:29
3894,200,778800,15:24:29
3895,1200,4674000,15:24:28
3895,100,389500,15:24:28
3896,100,389600,15:24:28
3895,200,779000,15:24:28
3895,100,389500,15:24:27
3895,200,779000,15:24:27
3895,500,1947500,15:24:27
3895,100,389500,15:24:26
3896,100,389600,15:24:26
3895,700,2726500,15:24:26
3895,200,779000,15:24:26
3895,100,389500,15:24:26
3895,3000,11685000,15:24:26
3895,100,389500,15:24:26
3895,400,1558000,15:24:25
3895,600,2337000,15:24:25
3895,200,779000,15:24:25
3897,300,1169100,15:24:25
3896,100,389600,15:24:25
3896,100,389600,15:24:25
3897,100,389700,15:24:25
3896,700,2727200,15:24:25
3897,100,389700,15:24:24
3897,100,389700,15:24:24
3897,100,389700,15:24:24
3897,2100,8183700,15:24:24
3897,100,389700,15:24:24
3897,700,2727900,15:24:23
3898,300,1169400,15:24:22
3898,400,1559200,15:24:22
3898,100,389800,15:24:22
3896,2900,11298400,15:24:22
3897,400,1558800,15:24:22
3897,500,1948500,15:24:22
3897,2900,11301300,15:24:22
3897,100,389700,15:24:22
3896,100,389600,15:24:21
3896,200,779200,15:24:21
3897,200,779400,15:24:21
3896,200,779200,15:24:20
3897,500,1948500,15:24:19
3897,300,1169100,15:24:19
3897,100,389700,15:24:19
3896,100,389600,15:24:19
3897,100,389700,15:24:19
3897,100,389700,15:24:19
3897,100,389700,15:24:18
3897,200,779400,15:24:18
3896,100,389600,15:24:18
3897,100,389700,15:24:17
3896,100,389600,15:24:17
3897,100,389700,15:24:17
3897,300,1169100,15:24:17
3896,100,389600,15:24:16
3897,100,389700,15:24:16
3897,100,389700,15:24:16
3896,100,389600,15:24:16
3897,100,389700,15:24:16
3896,100,389600,15:24:15
3897,100,389700,15:24:15
3896,100,389600,15:24:15
3897,100,389700,15:24:15
3896,300,1168800,15:24:14
3897,100,389700,15:24:14
3897,100,389700,15:24:14
3897,300,1169100,15:24:14
3897,100,389700,15:24:14
3897,1200,4676400,15:24:13
3896,100,389600,15:24:13
3896,200,779200,15:24:13
3897,100,389700,15:24:13
3897,100,389700,15:24:12
3896,100,389600,15:24:12
3896,200,779200,15:24:11
3897,100,389700,15:24:11
3896,600,2337600,15:24:10
3897,500,1948500,15:24:09
3896,200,779200,15:24:09
3897,400,1558800,15:24:09
3896,200,779200,15:24:09
3896,100,389600,15:24:08
3897,200,779400,15:24:08
3896,100,389600,15:24:08
3896,200,779200,15:24:07
3897,400,1558800,15:24:06
3896,1100,4285600,15:24:06
3897,200,779400,15:24:06
3897,100,389700,15:24:06
3897,100,389700,15:24:05
3896,100,389600,15:24:05
3898,100,389800,15:24:04
3897,800,3117600,15:24:04
3898,100,389800,15:24:04
3898,100,389800,15:24:04
3897,3700,14418900,15:24:04
3897,800,3117600,15:24:04
3897,500,1948500,15:24:03
3898,800,3118400,15:24:02
3898,500,1949000,15:24:02
3897,100,389700,15:24:02
3897,100,389700,15:24:02
3895,700,2726500,15:24:02
3896,1300,5064800,15:24:02
3897,200,779400,15:24:02
3897,600,2338200,15:24:01
3897,100,389700,15:24:01
3896,100,389600,15:24:01
3897,100,389700,15:24:01
3896,3300,12856800,15:24:01
3897,2200,8573400,15:24:01
3898,100,389800,15:24:01
3897,700,2727900,15:24:01
3898,400,1559200,15:24:00
3899,200,779800,15:24:00
3898,1200,4677600,15:24:00
3899,200,779800,15:24:00
3898,200,779600,15:23:59
3898,100,389800,15:23:58
3899,100,389900,15:23:58
3898,100,389800,15:23:58
3898,100,389800,15:23:57
3898,200,779600,15:23:56
3898,100,389800,15:23:56
3898,100,389800,15:23:55
3898,100,389800,15:23:55
3898,100,389800,15:23:55
3899,100,389900,15:23:55
3898,100,389800,15:23:53
3897,100,389700,15:23:53
3897,500,1948500,15:23:52
3898,300,1169400,15:23:52
3898,100,389800,15:23:52
3897,300,1169100,15:23:51
3897,1200,4676400,15:23:51
3899,300,1169700,15:23:51
3898,700,2728600,15:23:51
3898,200,779600,15:23:51
3897,200,779400,15:23:51
3898,100,389800,15:23:51
3897,100,389700,15:23:50
3897,100,389700,15:23:50
3898,200,779600,15:23:50
3898,200,779600,15:23:50
3897,500,1948500,15:23:50
3896,100,389600,15:23:50
3897,400,1558800,15:23:49
3897,100,389700,15:23:49
3897,200,779400,15:23:49
3896,100,389600,15:23:48
3896,100,389600,15:23:48
3897,100,389700,15:23:48
3896,100,389600,15:23:48
3896,100,389600,15:23:47
3897,100,389700,15:23:47
3896,300,1168800,15:23:47
3897,200,779400,15:23:46
3896,1000,3896000,15:23:46
3897,100,389700,15:23:46
3896,200,779200,15:23:46
3897,300,1169100,15:23:46
3896,100,389600,15:23:46
3897,100,389700,15:23:45
3896,100,389600,15:23:45
3896,100,389600,15:23:44
3896,200,779200,15:23:43
3896,900,3506400,15:23:42
3897,100,389700,15:23:42
3898,400,1559200,15:23:42
3897,100,389700,15:23:41
3897,100,389700,15:23:41
3897,1300,5066100,15:23:41
3898,100,389800,15:23:41
3897,1300,5066100,15:23:40
3898,800,3118400,15:23:40
3899,100,389900,15:23:39
3899,100,389900,15:23:39
3898,800,3118400,15:23:39
3898,600,2338800,15:23:37
3899,300,1169700,15:23:37
3898,700,2728600,15:23:37
3898,200,779600,15:23:36
3898,800,3118400,15:23:36
3898,100,389800,15:23:36
3898,100,389800,15:23:36
3898,200,779600,15:23:36
3898,400,1559200,15:23:35
3899,100,389900,15:23:34
3899,200,779800,15:23:34
3898,800,3118400,15:23:34
3899,500,1949500,15:23:33
3899,1300,5068700,15:23:33
3899,700,2729300,15:23:33
3899,100,389900,15:23:33
3899,700,2729300,15:23:32
3899,100,389900,15:23:31
3900,200,780000,15:23:31
3900,900,3510000,15:23:31
3900,2100,8190000,15:23:31
3900,100,390000,15:23:31
3901,700,2730700,15:23:30
3901,100,390100,15:23:30
3901,500,1950500,15:23:29
3900,1500,5850000,15:23:29
3900,100,390000,15:23:28
3902,100,390200,15:23:28
3900,200,780000,15:23:28
