値段,株数,金額,時刻
9244,688100,6360796400,15:30:00
9227,100,922700,15:24:59
9228,100,922800,15:24:59
9228,300,2768400,15:24:59
9229,100,922900,15:24:59
9230,400,3692000,15:24:59
9230,300,2769000,15:24:59
9230,500,4615000,15:24:59
9231,200,1846200,15:24:59
9232,1500,13848000,15:24:59
9233,200,1846600,15:24:59
9233,200,1846600,15:24:58
9239,200,1847800,15:24:58
9238,200,1847600,15:24:58
9237,200,1847400,15:24:58
9238,100,923800,15:24:58
9235,100,923500,15:24:58
9236,600,5541600,15:24:58
9236,100,923600,15:24:58
9237,100,923700,15:24:57
9237,100,923700,15:24:57
9239,300,2771700,15:24:57
9234,200,1846800,15:24:56
9237,300,2771100,15:24:56
9237,100,923700,15:24:55
9236,100,923600,15:24:55
9233,200,1846600,15:24:55
9233,200,1846600,15:24:54
9237,100,923700,15:24:53
9236,100,923600,15:24:53
9232,100,923200,15:24:53
9238,100,923800,15:24:53
9237,100,923700,15:24:53
9236,100,923600,15:24:53
9236,100,923600,15:24:53
9232,100,923200,15:24:53
9232,100,923200,15:24:52
9233,200,1846600,15:24:52
9233,100,923300,15:24:52
9234,300,2770200,15:24:52
9234,100,923400,15:24:52
9235,700,6464500,15:24:52
9240,100,924000,15:24:52
9235,100,923500,15:24:50
9236,100,923600,15:24:50
9236,100,923600,15:24:50
9236,100,923600,15:24:50
9239,100,923900,15:24:48
9240,200,1848000,15:24:48
9240,600,5544000,15:24:47
9239,100,923900,15:24:47
9238,100,923800,15:24:46
9239,100,923900,15:24:45
9238,100,923800,15:24:45
9237,100,923700,15:24:45
9235,200,1847000,15:24:45
9238,100,923800,15:24:44
9238,100,923800,15:24:43
9237,200,1847400,15:24:43
9239,100,923900,15:24:43
9238,100,923800,15:24:43
9238,100,923800,15:24:42
9236,200,1847200,15:24:40
9239,100,923900,15:24:39
9237,100,923700,15:24:39
9238,300,2771400,15:24:38
9237,200,1847400,15:24:38
9233,100,923300,15:24:35
9232,100,923200,15:24:34
9233,200,1846600,15:24:34
9233,100,923300,15:24:34
9236,100,923600,15:24:33
9235,500,4617500,15:24:33
9235,100,923500,15:24:33
9234,100,923400,15:24:33
9230,200,1846000,15:24:33
9234,100,923400,15:24:33
9233,300,2769900,15:24:32
9234,100,923400,15:24:32
