値段,株数,金額,時刻
7397,5903800,43670408600,15:30:00
7430,100,743000,15:24:59
7430,100,743000,15:24:59
7430,800,5944000,15:24:59
7429,200,1485800,15:24:59
7428,100,742800,15:24:59
7427,400,2970800,15:24:59
7427,400,2970800,15:24:59
7427,200,1485400,15:24:59
7427,200,1485400,15:24:59
7429,100,742900,15:24:59
7429,100,742900,15:24:58
7429,200,1485800,15:24:58
7429,100,742900,15:24:57
7429,100,742900,15:24:57
7427,100,742700,15:24:57
7427,100,742700,15:24:57
7427,100,742700,15:24:57
7426,100,742600,15:24:56
7426,100,742600,15:24:56
7429,100,742900,15:24:56
7426,100,742600,15:24:55
7428,200,1485600,15:24:55
7428,100,742800,15:24:55
7425,100,742500,15:24:55
7425,100,742500,15:24:55
7425,100,742500,15:24:55
7425,100,742500,15:24:55
7425,100,742500,15:24:55
7426,200,1485200,15:24:54
7429,100,742900,15:24:53
7429,100,742900,15:24:53
7429,100,742900,15:24:53
7426,100,742600,15:24:53
7429,100,742900,15:24:53
7426,100,742600,15:24:52
7427,100,742700,15:24:51
7429,500,3714500,15:24:51
7427,100,742700,15:24:51
7428,100,742800,15:24:51
7429,100,742900,15:24:49
7429,400,2971600,15:24:49
7428,100,742800,15:24:49
7429,100,742900,15:24:49
7429,100,742900,15:24:49
7429,100,742900,15:24:49
7429,100,742900,15:24:48
7428,2000,14856000,15:24:48
7428,100,742800,15:24:48
7427,2700,20052900,15:24:48
7427,700,5198900,15:24:48
7426,100,742600,15:24:48
7427,100,742700,15:24:48
7426,100,742600,15:24:48
7426,400,2970400,15:24:48
7425,100,742500,15:24:48
7424,500,3712000,15:24:48
7422,100,742200,15:24:47
7422,200,1484400,15:24:46
7424,100,742400,15:24:45
7423,200,1484600,15:24:45
7423,400,2969200,15:24:45
7423,600,4453800,15:24:45
7420,100,742000,15:24:45
7421,600,4452600,15:24:45
7422,200,1484400,15:24:45
7422,400,2968800,15:24:45
7423,200,1484600,15:24:45
7423,500,3711500,15:24:45
7423,500,3711500,15:24:45
7423,700,5196100,15:24:45
7423,100,742300,15:24:44
7424,100,742400,15:24:43
7425,200,1485000,15:24:43
7423,100,742300,15:24:43
7424,100,742400,15:24:43
7424,200,1484800,15:24:42
7425,100,742500,15:24:41
7425,100,742500,15:24:41
7424,200,1484800,15:24:38
7423,100,742300,15:24:38
7424,200,1484800,15:24:38
7423,100,742300,15:24:37
7421,100,742100,15:24:37
7421,100,742100,15:24:36
7423,100,742300,15:24:36
7422,700,5195400,15:24:36
7422,100,742200,15:24:36
7423,200,1484600,15:24:36
7423,300,2226900,15:24:35
7425,100,742500,15:24:34
7423,100,742300,15:24:34
7423,200,1484600,15:24:34
7423,100,742300,15:24:34
7425,200,1485000,15:24:34
7423,100,742300,15:24:34
7424,100,742400,15:24:34
7425,200,1485000,15:24:34
7425,100,742500,15:24:34
7425,2900,21532500,15:24:34
7424,1100,8166400,15:24:34
7424,100,742400,15:24:34
7424,300,2227200,15:24:33
7422,100,742200,15:24:33
7423,1100,8165300,15:24:33
7423,800,5938400,15:24:33
7422,200,1484400,15:24:32
7422,900,6679800,15:24:32
7422,900,6679800,15:24:32
7421,200,1484200,15:24:32
7419,100,741900,15:24:32
7420,100,742000,15:24:32
7420,200,1484000,15:24:32
7420,200,1484000,15:24:32
7420,100,742000,15:24:30
7420,100,742000,15:24:30
7421,100,742100,15:24:30
7423,300,2226900,15:24:30
7422,100,742200,15:24:30
7421,200,1484200,15:24:30
7422,200,1484400,15:24:30
7421,100,742100,15:24:30
7422,100,742200,15:24:29
7421,200,1484200,15:24:29
7421,100,742100,15:24:29
7421,200,1484200,15:24:28
7423,100,742300,15:24:28
7423,100,742300,15:24:27
