値段,株数,金額,時刻
56230,966600,54351918000,15:30:00
56020,100,5602000,15:24:59
56020,100,5602000,15:24:59
56040,100,5604000,15:24:59
56030,100,5603000,15:24:58
56020,100,5602000,15:24:58
56030,100,5603000,15:24:57
56050,200,11210000,15:24:57
56030,100,5603000,15:24:57
56050,100,5605000,15:24:55
56030,100,5603000,15:24:55
56040,100,5604000,15:24:54
56040,200,11208000,15:24:54
56030,200,11206000,15:24:53
56030,100,5603000,15:24:51
56040,100,5604000,15:24:50
56060,100,5606000,15:24:50
56060,100,5606000,15:24:50
56070,100,5607000,15:24:50
56050,100,5605000,15:24:48
56030,100,5603000,15:24:46
56040,100,5604000,15:24:46
56030,100,5603000,15:24:45
56050,100,5605000,15:24:45
56030,100,5603000,15:24:42
56050,100,5605000,15:24:41
56050,200,11210000,15:24:40
56060,100,5606000,15:24:40
56050,100,5605000,15:24:37
56050,100,5605000,15:24:34
56050,100,5605000,15:24:33
56080,100,5608000,15:24:31
56060,100,5606000,15:24:30
56080,100,5608000,15:24:30
56080,100,5608000,15:24:30
56080,200,11216000,15:24:30
56060,100,5606000,15:24:29
56070,100,5607000,15:24:29
56080,100,5608000,15:24:29
56080,100,5608000,15:24:29
56090,100,5609000,15:24:29
56080,100,5608000,15:24:28
56070,200,11214000,15:24:28
56050,200,11210000,15:24:27
56060,100,5606000,15:24:27
56050,100,5605000,15:24:26
56050,100,5605000,15:24:25
56050,200,11210000,15:24:24
56060,200,11212000,15:24:24
56050,100,5605000,15:24:24
56050,200,11210000,15:24:24
56060,100,5606000,15:24:24
56070,200,11214000,15:24:24
56070,100,5607000,15:24:24
56080,400,22432000,15:24:24
56090,100,5609000,15:24:23
56090,600,33654000,15:24:23
56090,100,5609000,15:24:23
56090,100,5609000,15:24:23
56100,100,5610000,15:24:23
56110,200,11222000,15:24:23
56110,100,5611000,15:24:22
56110,300,16833000,15:24:22
56110,100,5611000,15:24:19
56090,200,11218000,15:24:18
56120,100,5612000,15:24:16
56090,100,5609000,15:24:15
56110,100,5611000,15:24:14
56090,100,5609000,15:24:11
56090,100,5609000,15:24:08
56090,100,5609000,15:24:06
56090,100,5609000,15:24:06
56130,100,5613000,15:24:03
56130,100,5613000,15:24:02
56130,100,5613000,15:24:01
56110,100,5611000,15:24:01
56140,300,16842000,15:24:00
56130,700,39291000,15:24:00
56120,200,11224000,15:24:00
56120,200,11224000,15:24:00
56120,100,5612000,15:24:00
56090,200,11218000,15:24:00
56090,100,5609000,15:23:58
56070,100,5607000,15:23:57
56080,100,5608000,15:23:57
56080,200,11216000,15:23:57
56070,100,5607000,15:23:57
56060,700,39242000,15:23:57
56040,100,5604000,15:23:57
56030,100,5603000,15:23:51
56040,100,5604000,15:23:50
56030,100,5603000,15:23:50
56030,100,5603000,15:23:50
56030,100,5603000,15:23:50
56020,100,5602000,15:23:46
56020,100,5602000,15:23:46
56030,100,5603000,15:23:45
56040,100,5604000,15:23:45
56040,100,5604000,15:23:45
56040,100,5604000,15:23:45
56050,400,22420000,15:23:45
56060,300,16818000,15:23:40
56060,100,5606000,15:23:38
56060,100,5606000,15:23:37
56070,100,5607000,15:23:33
56080,300,16824000,15:23:31
56080,100,5608000,15:23:31
56080,100,5608000,15:23:31
56090,100,5609000,15:23:29
56090,100,5609000,15:23:26
56100,100,5610000,15:23:25
56100,100,5610000,15:23:25
56100,100,5610000,15:23:25
56110,100,5611000,15:23:16
56100,100,5610000,15:23:15
56120,500,28060000,15:23:10
56120,100,5612000,15:23:10
56120,100,5612000,15:23:10
56130,100,5613000,15:23:08
56150,100,5615000,15:23:07
56150,100,5615000,15:23:06
56130,200,11226000,15:23:06
56150,100,5615000,15:23:06
56150,100,5615000,15:23:06
56140,400,22456000,15:23:06
56150,700,39305000,15:23:06
