値段,株数,金額,時刻
2609,128000,333952000,15:30:00
2622,1000,2622000,15:24:59
2621,100,262100,15:24:59
2621,200,524200,15:24:58
2621,300,786300,15:24:58
2620,100,262000,15:24:58
2620,100,262000,15:24:58
2619,100,261900,15:24:58
2619,200,523800,15:24:58
2620,100,262000,15:24:57
2617,400,1046800,15:24:57
2618,400,1047200,15:24:57
2619,400,1047600,15:24:57
2619,100,261900,15:24:55
2622,300,786600,15:24:54
2621,200,524200,15:24:54
2620,500,1310000,15:24:54
2619,100,261900,15:24:54
2618,200,523600,15:24:53
2619,400,1047600,15:24:50
2619,300,785700,15:24:49
2621,100,262100,15:24:48
2620,200,524000,15:24:48
2622,500,1311000,15:24:46
2621,100,262100,15:24:46
2622,600,1573200,15:24:46
2622,100,262200,15:24:45
2622,100,262200,15:24:45
2620,3600,9432000,15:24:45
2620,400,1048000,15:24:45
2622,100,262200,15:24:44
2620,100,262000,15:24:43
2622,100,262200,15:24:41
2621,100,262100,15:24:41
2621,100,262100,15:24:41
2622,200,524400,15:24:41
2622,300,786600,15:24:41
2620,100,262000,15:24:40
2622,400,1048800,15:24:39
2621,100,262100,15:24:39
2621,400,1048400,15:24:39
2620,4200,11004000,15:24:39
2619,100,261900,15:24:39
2617,100,261700,15:24:36
2620,300,786000,15:24:35
2618,100,261800,15:24:35
2618,100,261800,15:24:35
2619,300,785700,15:24:35
2618,100,261800,15:24:35
2618,100,261800,15:24:35
2618,100,261800,15:24:35
2617,100,261700,15:24:35
2612,100,261200,15:24:32
2613,500,1306500,15:24:32
2614,600,1568400,15:24:32
2615,300,784500,15:24:32
2616,700,1831200,15:24:32
2620,100,262000,15:24:30
2618,100,261800,15:24:29
2618,100,261800,15:24:29
2619,1600,4190400,15:24:29
2616,200,523200,15:24:29
2617,300,785100,15:24:29
2618,100,261800,15:24:29
2617,100,261700,15:24:29
2617,100,261700,15:24:29
2617,100,261700,15:24:29
2618,900,2356200,15:24:29
2616,300,784800,15:24:29
2616,100,261600,15:24:29
2617,1600,4187200,15:24:28
2616,100,261600,15:24:28
2616,100,261600,15:24:28
2616,2700,7063200,15:24:28
2615,1200,3138000,15:24:28
2615,2300,6014500,15:24:28
2614,1600,4182400,15:24:28
2613,4900,12803700,15:24:28
2612,100,261200,15:24:28
2612,500,1306000,15:24:28
2611,100,261100,15:24:28
2611,100,261100,15:24:26
2612,600,1567200,15:24:25
2611,800,2088800,15:24:25
2610,100,261000,15:24:25
2610,100,261000,15:24:22
2611,400,1044400,15:24:21
2611,100,261100,15:24:20
2611,100,261100,15:24:20
2611,400,1044400,15:24:19
2611,100,261100,15:24:19
2611,100,261100,15:24:19
2610,100,261000,15:24:19
2611,100,261100,15:24:19
2611,100,261100,15:24:19
2611,100,261100,15:24:19
2611,100,261100,15:24:19
2611,300,783300,15:24:19
2610,100,261000,15:24:19
2611,500,1305500,15:24:19
2610,100,261000,15:24:19
2610,100,261000,15:24:19
2610,200,522000,15:24:19
2606,300,781800,15:24:18
2607,800,2085600,15:24:18
2608,300,782400,15:24:18
2609,100,260900,15:24:18
2609,200,521800,15:24:17
2610,300,783000,15:24:13
2611,100,261100,15:24:12
2610,100,261000,15:24:08
2610,100,261000,15:24:08
2610,100,261000,15:24:07
2610,100,261000,15:24:07
2608,100,260800,15:24:07
2609,500,1304500,15:24:07
2610,100,261000,15:24:07
2610,100,261000,15:24:07
2611,100,261100,15:24:05
2609,100,260900,15:24:05
2610,600,1566000,15:24:04
2610,100,261000,15:24:03
2610,100,261000,15:24:00
2611,700,1827700,15:24:00
2612,100,261200,15:24:00
2612,400,1044800,15:24:00
2612,300,783600,15:23:59
2612,200,522400,15:23:58
2611,100,261100,15:23:58
2612,200,522400,15:23:58
2612,400,1044800,15:23:58
2611,500,1305500,15:23:58
2610,3600,9396000,15:23:58
2609,200,521800,15:23:58
2608,200,521600,15:23:57
2609,100,260900,15:23:57
2609,100,260900,15:23:56
2609,100,260900,15:23:54
2609,100,260900,15:23:51
2609,100,260900,15:23:51
2608,100,260800,15:23:51
2608,300,782400,15:23:49
2609,300,782700,15:23:49
2607,100,260700,15:23:46
2606,200,521200,15:23:45
2607,100,260700,15:23:44
2609,300,782700,15:23:44
2607,200,521400,15:23:44
2608,200,521600,15:23:44
2607,100,260700,15:23:41
2607,400,1042800,15:23:41
2608,100,260800,15:23:37
2607,100,260700,15:23:33
2608,200,521600,15:23:32
2608,100,260800,15:23:30
2608,100,260800,15:23:30
2609,100,260900,15:23:30
2610,200,522000,15:23:26
2609,700,1826300,15:23:26
2608,200,521600,15:23:26
2608,1300,3390400,15:23:26
2607,100,260700,15:23:24
2607,200,521400,15:23:23
2608,200,521600,15:23:23
2607,1500,3910500,15:23:23
2604,300,781200,15:23:23
2605,100,260500,15:23:21
2605,200,521000,15:23:21
2605,200,521000,15:23:18
2605,1700,4428500,15:23:18
2606,200,521200,15:23:18
2607,900,2346300,15:23:18
2607,300,782100,15:23:18
2606,900,2345400,15:23:18
2606,100,260600,15:23:16
2606,100,260600,15:23:15
2606,100,260600,15:23:11
2606,300,781800,15:23:10
2606,400,1042400,15:23:09
2607,100,260700,15:23:09
2607,100,260700,15:23:09
2606,300,781800,15:23:09
2608,100,260800,15:23:09
2606,200,521200,15:23:07
2606,100,260600,15:23:05
2607,100,260700,15:22:59
2606,200,521200,15:22:58
2606,200,521200,15:22:57
2607,100,260700,15:22:57
2606,100,260600,15:22:57
2607,100,260700,15:22:54
2605,400,1042000,15:22:53
2606,500,1303000,15:22:52
2607,200,521400,15:22:52
2607,100,260700,15:22:47
2607,100,260700,15:22:47
2607,100,260700,15:22:45
2607,100,260700,15:22:44
2607,100,260700,15:22:44
2607,100,260700,15:22:44
2607,500,1303500,15:22:44
2606,200,521200,15:22:44
2605,200,521000,15:22:41
2607,100,260700,15:22:40
