値段,株数,金額,時刻
2360,65600,154816000,15:30:00
2362,300,708600,15:24:57
2360,100,236000,15:24:57
2362,100,236200,15:24:57
2360,500,1180000,15:24:56
2362,600,1417200,15:24:56
2361,400,944400,15:24:56
2361,100,236100,15:24:56
2360,200,472000,15:24:56
2359,600,1415400,15:24:53
2356,100,235600,15:24:53
2359,700,1651300,15:24:53
2358,200,471600,15:24:52
2356,100,235600,15:24:41
2357,100,235700,15:24:41
2357,100,235700,15:24:39
2359,100,235900,15:24:39
2359,200,471800,15:24:39
2358,100,235800,15:24:37
2359,100,235900,15:24:36
2357,100,235700,15:24:35
2358,300,707400,15:24:35
2358,100,235800,15:24:35
2357,100,235700,15:24:28
2357,100,235700,15:24:28
2359,100,235900,15:24:23
2359,300,707700,15:24:19
2358,100,235800,15:24:15
2358,100,235800,15:24:15
2356,100,235600,15:24:11
2357,400,942800,15:23:56
2357,200,471400,15:23:56
2357,100,235700,15:23:40
2358,100,235800,15:23:20
2358,200,471600,15:23:20
2358,100,235800,15:23:04
2357,200,471400,15:22:58
2357,300,707100,15:22:56
2359,100,235900,15:22:47
2356,100,235600,15:22:46
2358,500,1179000,15:22:46
2360,300,708000,15:22:33
2360,100,236000,15:22:33
2359,100,235900,15:22:33
2360,100,236000,15:22:10
2358,100,235800,15:22:10
2359,100,235900,15:22:04
2358,500,1179000,15:22:01
2358,100,235800,15:21:41
2358,700,1650600,15:21:28
2359,100,235900,15:21:28
2358,200,471600,15:21:20
2360,200,472000,15:21:20
2359,100,235900,15:21:09
2359,200,471800,15:21:02
2358,100,235800,15:21:02
2357,800,1885600,15:20:59
2356,400,942400,15:20:57
2356,100,235600,15:20:57
2355,100,235500,15:20:57
2355,100,235500,15:20:57
2355,400,942000,15:20:57
2353,200,470600,15:20:53
2353,100,235300,15:20:32
2354,1000,2354000,15:20:32
2353,500,1176500,15:20:32
2353,100,235300,15:20:32
2352,100,235200,15:20:25
2352,1400,3292800,15:20:25
2350,100,235000,15:20:03
2351,500,1175500,15:20:03
2352,600,1411200,15:19:38
2353,100,235300,15:19:00
2351,100,235100,15:19:00
2352,1000,2352000,15:19:00
2353,100,235300,15:18:58
2351,300,705300,15:18:55
2352,200,470400,15:18:40
2352,100,235200,15:18:00
2354,100,235400,15:17:39
2352,100,235200,15:17:31
2353,100,235300,15:17:07
2352,100,235200,15:16:17
2353,400,941200,15:16:17
2353,600,1411800,15:15:42
2353,100,235300,15:15:20
2352,100,235200,15:15:19
2352,100,235200,15:15:19
2352,300,705600,15:15:19
2351,100,235100,15:15:15
2351,100,235100,15:14:25
2352,400,940800,15:14:25
2352,100,235200,15:14:12
2353,100,235300,15:14:08
2353,100,235300,15:13:55
2354,300,706200,15:13:37
2353,100,235300,15:13:22
2353,100,235300,15:13:21
2353,500,1176500,15:13:21
2353,100,235300,15:13:05
2352,200,470400,15:12:23
2353,300,705900,15:12:00
2352,100,235200,15:11:39
2353,200,470600,15:11:38
2354,400,941600,15:11:23
2353,100,235300,15:10:45
2353,100,235300,15:10:45
2352,100,235200,15:10:32
2352,100,235200,15:10:32
2352,200,470400,15:10:15
2352,100,235200,15:10:15
2352,100,235200,15:10:07
2351,400,940400,15:10:06
2351,100,235100,15:09:40
2351,100,235100,15:09:06
2351,100,235100,15:09:01
2351,300,705300,15:08:51
2350,100,235000,15:08:51
2350,400,940000,15:08:51
2349,100,234900,15:08:09
2350,700,1645000,15:07:37
2350,100,235000,15:07:33
2351,100,235100,15:07:18
2351,500,1175500,15:07:18
2352,300,705600,15:07:06
2354,100,235400,15:07:00
2353,200,470600,15:06:46
2352,100,235200,15:06:46
2354,400,941600,15:06:46
2354,100,235400,15:06:46
2353,800,1882400,15:06:46
2352,100,235200,15:06:40
2352,700,1646400,15:06:40
2352,100,235200,15:06:21
2352,100,235200,15:06:03
2351,100,235100,15:05:55
2352,100,235200,15:05:15
2353,300,705900,15:05:15
2353,100,235300,15:04:24
2352,500,1176000,15:04:24
2353,700,1647100,15:04:24
2354,600,1412400,15:04:24
2355,300,706500,15:03:51
2355,100,235500,15:03:23
2355,1000,2355000,15:03:23
2354,300,706200,15:03:21
2354,200,470800,15:03:21
2354,600,1412400,15:03:14
2354,100,235400,15:03:11
2353,100,235300,15:02:47
2351,100,235100,15:02:22
2351,200,470200,15:02:19
2352,100,235200,15:02:17
2353,100,235300,15:02:06
2352,100,235200,15:01:33
2352,100,235200,15:01:32
2353,100,235300,15:01:06
2353,100,235300,15:00:31
2352,200,470400,15:00:31
2352,100,235200,15:00:09
2352,100,235200,15:00:01
2351,100,235100,14:59:55
2352,100,235200,14:59:20
2351,100,235100,14:58:24
2351,600,1410600,14:58:24
2352,400,940800,14:58:24
2352,100,235200,14:58:20
2353,100,235300,14:58:19
2354,100,235400,14:58:01
2353,100,235300,14:57:04
2354,100,235400,14:56:22
2353,100,235300,14:56:15
2353,100,235300,14:56:01
2354,500,1177000,14:56:01
2353,300,705900,14:56:01
2353,100,235300,14:55:49
2351,100,235100,14:55:02
2351,100,235100,14:54:44
2352,100,235200,14:54:37
2351,100,235100,14:54:37
2351,100,235100,14:54:37
2350,500,1175000,14:54:37
2350,300,705000,14:54:37
2350,300,705000,14:54:37
2349,100,234900,14:54:28
2349,100,234900,14:54:22
2349,100,234900,14:53:54
2350,200,470000,14:53:54
2349,200,469800,14:53:50
2349,200,469800,14:53:50
2349,100,234900,14:53:25
2349,200,469800,14:53:20
2349,100,234900,14:53:01
2349,400,939600,14:53:01
2350,100,235000,14:52:10
2350,1700,3995000,14:52:09
2349,100,234900,14:52:09
2349,200,469800,14:52:09
2348,300,704400,14:52:09
2349,400,939600,14:52:09
2350,4200,9870000,14:52:09
2350,200,470000,14:52:09
2350,1900,4465000,14:52:09
2350,3300,7755000,14:52:09
2351,500,1175500,14:51:52
2351,500,1175500,14:51:52
2352,100,235200,14:51:35
2352,100,235200,14:51:35
2351,100,235100,14:51:04
2352,700,1646400,14:51:04
2352,600,1411200,14:50:55
2353,100,235300,14:50:34
2353,100,235300,14:50:07
2353,100,235300,14:50:07
2353,200,470600,14:50:00
2353,100,235300,14:49:40
2353,100,235300,14:49:23
2352,100,235200,14:49:18
2353,300,705900,14:49:18
2354,100,235400,14:48:54
2354,100,235400,14:48:54
2355,100,235500,14:48:06
2355,100,235500,14:48:01
2355,200,471000,14:47:35
2354,100,235400,14:47:08
2354,1400,3295600,14:47:07
2353,400,941200,14:47:07
2353,100,235300,14:46:02
2352,200,470400,14:45:57
2353,800,1882400,14:45:57
2353,100,235300,14:45:45
2354,1300,3060200,14:45:22
2355,100,235500,14:45:04
2355,100,235500,14:44:35
2355,200,471000,14:44:35
2356,100,235600,14:43:51
2356,100,235600,14:43:51
2354,100,235400,14:42:27
2356,200,471200,14:42:01
2355,100,235500,14:41:47
2354,300,706200,14:41:47
2355,1600,3768000,14:41:47
2356,100,235600,14:41:47
2356,200,471200,14:41:40
2358,600,1414800,14:41:14
2358,100,235800,14:40:55
2357,100,235700,14:40:50
2358,200,471600,14:40:19
2359,100,235900,14:40:16
2358,300,707400,14:40:10
2358,100,235800,14:40:10
2358,100,235800,14:40:10
2357,400,942800,14:40:10
2357,100,235700,14:40:07
2357,800,1885600,14:40:03
2356,200,471200,14:40:03
2356,100,235600,14:40:03
2355,300,706500,14:40:01
2355,1100,2590500,14:40:01
2355,200,471000,14:40:01
2355,1000,2355000,14:40:01
2356,200,471200,14:39:04
2356,300,706800,14:39:04
2356,500,1178000,14:38:24
2356,100,235600,14:38:23
2356,400,942400,14:38:23
2356,100,235600,14:38:08
2357,200,471400,14:37:27
2357,100,235700,14:37:19
2358,100,235800,14:36:32
2358,100,235800,14:36:32
2358,300,707400,14:36:32
2358,2400,5659200,14:36:32
2359,200,471800,14:36:31
2360,200,472000,14:36:00
2360,400,944000,14:36:00
2361,100,236100,14:34:53
2362,100,236200,14:34:45
2363,100,236300,14:34:45
2363,200,472600,14:34:10
2363,100,236300,14:33:40
2362,200,472400,14:33:24
2363,100,236300,14:32:45
2362,100,236200,14:32:26
2361,100,236100,14:32:04
2361,100,236100,14:32:04
2363,800,1890400,14:31:54
2364,400,945600,14:31:15
2364,100,236400,14:31:14
2364,200,472800,14:30:01
2365,100,236500,14:29:59
2365,100,236500,14:29:58
2364,1000,2364000,14:29:52
2363,500,1181500,14:29:52
2362,100,236200,14:29:47
2360,100,236000,14:29:35
2361,1900,4485900,14:29:12
2361,100,236100,14:29:12
2361,100,236100,14:29:06
2360,100,236000,14:28:38
2362,900,2125800,14:28:09
2361,400,944400,14:28:09
2360,100,236000,14:28:07
2360,100,236000,14:28:07
2360,100,236000,14:27:44
2360,100,236000,14:27:44
2360,200,472000,14:27:44
